Year,Port,Millions of Pounds,State
2017,"Dutch Harbor, AK",768.7,AK
2017,"Aleutian Islands (Other), AK",552.3,AK
2017,"Kodiak, AK",530.4,AK
2017,"Reedville, VA",319.9,VA
2017,"Pascagoula-Moss Point, MS",301.3,MS
2017,"Empire-Venice, LA",294.1,LA
2017,"Alaska Penninsula (Other), AK",267.9,AK
2017,"Intracoastal City, LA",198.1,LA
2017,"Naknek, AK",186.5,AK
2017,"Astoria, OR",151.2,OR
2017,"Westport, WA",150.4,WA
2017,"Newport, OR",111.5,OR
2017,"New Bedford, MA",110.8,MA
2017,"Cape May-Wildwood, NJ",101.6,NJ
2017,"Cordova, AK",99.2,AK
2017,"Sitka, AK",91.3,AK
2017,"Port Hueneme-Oxnard-Ventura, CA",90.6,CA
2017,"Ketchikan, AK",77.0,AK
2017,"Petersburg, AK",64.8,AK
2017,"Gloucester, MA",63.9,MA
2017,"Seward, AK",50.5,AK
2017,"Portland, ME",49.2,ME
2017,"Point Judith, RI",44.3,RI
2017,"Los Angeles, CA",43.2,CA
2017,"Bristol Bay (Other), AK",42.5,AK
2017,"Point Pleasant, NJ",37.5,NJ
2017,"Dulac-Chauvin, LA",37.3,LA
2017,"Honolulu, HI",34.0,HI
2017,"Kenai, AK",31.9,AK
2017,"Bayou La Batre, AL",28.2,AL
2017,"North Kingstown, RI",27.0,RI
2017,"Atlantic City, NJ",24.7,NJ
2017,"Rockland, ME",23.3,ME
2017,"Brownsville-Port Isabel, TX",23.0,TX
2017,"Provincetown-Chatham, MA",22.3,MA
2017,"Palacios, TX",20.2,TX
2017,"Coos Bay-Charleston, OR",19.3,OR
2017,"Galveston, TX",18.8,TX
2017,"Grand Isle, LA",18.4,LA
2017,"Juneau, AK",18.2,AK
2017,"Stonington, ME",17.9,ME
2017,"Port Arthur, TX",17.1,TX
2017,"Egegik, AK",16.2,AK
2017,"Boston, MA",15.8,MA
2017,"Wanchese-Stumpy Point, NC",15.7,NC
2017,"Ilwaco-Chinook, WA",15.6,WA
2017,"Hampton Roads Area, VA",15.5,VA
2017,"Golden Meadow-Leeville, LA",15.0,LA
2017,"Key West, FL",14.6,FL
2017,"Beaufort-Morehead City, NC",14.2,NC
2017,"Tampa Bay-St. Petersburg, FL",13.9,FL
2017,"Monterey, CA",13.6,CA
2017,"Delacroix-Yscloskey, LA",12.4,LA
2017,"Moss Landing, CA",10.3,CA
2017,"Montauk, NY",10.1,NY
2017,"Jonesport, ME",10.0,ME
2017,"Fort Myers, FL",10.0,FL
2017,"Gulfport-Biloxi, MS",9.9,MS
2017,"Eureka, CA",9.3,CA
2017,"Princeton-Half Moon Bay, CA",8.9,CA
2017,"Engelhard-Swanquarter, NC",8.9,NC
2017,"Bellingham, WA",8.9,WA
2017,"Vinalhaven, ME",8.8,ME
2017,"Brookings, OR",8.8,OR
2017,"Long Beach-Barnegat, NJ",7.6,NJ
2017,"Newport, RI",7.3,RI
2017,"St. Augustine, FL",7.0,FL
2017,"Upper Southeast (Other), AK",6.9,AK
2017,"Slidell-Covington, LA",6.9,LA
2017,"Beals Island, ME",6.9,ME
2017,"Morgan City-Berwick, LA",6.8,LA
2017,"Cape Canaveral, FL",6.6,FL
2017,"Mayport, FL",6.4,FL
2017,"Seattle, WA",6.3,WA
2017,"Accomac, VA",5.9,VA
2017,"Shelton, WA",5.6,WA
2017,"New London, CT",5.6,CT
2017,"Anacortes-La Conner, WA",5.5,WA
2017,"San Francisco Area, CA",5.3,CA
2017,"Fort Bragg, CA",5.3,CA
2017,"Darien-Bellville, GA",5.1,GA
2017,"Crescent City, CA",5.1,CA
2017,"Belford, NJ",5.1,NJ
2017,"Wrangell, AK",5.0,AK
2017,"Pembroke, ME",4.8,ME
2017,"Portsmouth, NH",4.6,NH
2017,"Neah Bay, WA",4.6,WA
2017,"Iberia, LA",4.5,LA
2017,"Ocean City, MD",4.4,MD
2017,"Friendship, ME",4.4,ME
2017,"Oriental-Vandemere, NC",4.1,NC
2017,"Norton/Kotzebue Sound, AK",4.1,AK
2017,"Newington, NH",4.1,NH
2017,"Morro Bay, CA",4.1,CA
2017,"Homer, AK",4.0,AK
2017,"Santa Barbara, CA",3.9,CA
