lat,lon,coordinates
-178,52,"(-178, 52)"
-176,52,"(-176, 52)"
-174,52,"(-174, 52)"
-172,52,"(-172, 52)"
-170,52,"(-170, 52)"
-168,52,"(-168, 52)"
-166,52,"(-166, 52)"
-164,52,"(-164, 52)"
-164,54,"(-164, 54)"
-162,54,"(-162, 54)"
-160,54,"(-160, 54)"
-158,54,"(-158, 54)"
-158,56,"(-158, 56)"
-156,56,"(-156, 56)"
-170,56,"(-170, 56)"
-170,58,"(-170, 58)"
-170,60,"(-170, 60)"
-172,58,"(-172, 58)"
-174,56,"(-174, 56)"
-174,60,"(-174, 60)"
-176,58,"(-176, 58)"
-168,58,"(-168, 58)"
-168,56,"(-168, 56)"
-166,56,"(-166, 56)"
-154,56,"(-154, 56)"
-152,56,"(-152, 56)"
-152,58,"(-152, 58)"
-150,58,"(-150, 58)"
-146,60,"(-146, 60)"
-144,60,"(-144, 60)"
-142,60,"(-142, 60)"
-138,58,"(-138, 58)"
-136,56,"(-136, 56)"
