lon,lat,coordinates,
Gulf of Mexico,,,
96,28,"(96, 28)",
94,28,"(94, 28)",
92,28,"(92, 28)",
90,28,"(90, 28)",
88,28,"(88, 28)",
86,28,"(86, 28)",
84,28,"(84, 28)",
96,26,"(96, 26)",
94,26,"(94, 26)",
92,26,"(92, 26)",
90,26,"(90, 26)",
88,26,"(88, 26)",
86,26,"(86, 26)",
84,26,"(84, 26)",
82,26,"(82, 26)",
84,24,"(84, 24)",
82,24,"(82, 24)",
88,30,"(88, 30)",
86,30,"(86, 30)",
84,30,"(84, 30)",
Mid-Atlantic,,,
76,38,"(76, 38)",
74,38,"(74, 38)",
72,38,"(72, 38)",
70,38,"(70, 38)",
74,40,"(74, 40)",
72,40,"(72, 40)",
70,40,"(70, 40)",
68,40,"(68, 40)",
66,40,"(66, 40)",
Northeast Atlantic,,,
70,42,"(70, 42)",?
68,42,"(68, 42)",
66,42,"(66, 42)",??
68,44,"(68, 44)",
South Atlantic,,,
80,26,"(80, 26)",
80,28,"(80, 28)",
80,30,"(80, 30)",
78,30,"(78, 30)",
78,32,"(78, 32)",
76,32,"(76, 32)",
76,34,"(76, 34)",
76,36,"(76, 36)",
74,32,"(74, 32)",
74,34,"(74, 34)",
74,36,"(74, 36)",
72,34,"(72, 34)",
72,36,"(72, 36)",
