Year,Port,Millions of Pounds,State
2017,Dutch Harbor,768.7,AK
2017,Aleutian Islands (Other),552.3,AK
2017,Kodiak,530.4,AK
2017,Reedville,319.9,VA
2017,Pascagoula-Moss Point,301.3,MS
2017,Empire-Venice,294.1,LA
2017,Alaska Penninsula (Other),267.9,AK
2017,Intracoastal City,198.1,LA
2017,Naknek,186.5,AK
2017,Astoria,151.2,OR
2017,Westport,150.4,WA
2017,Newport,111.5,OR
2017,New Bedford,110.8,MA
2017,Cape May-Wildwood,101.6,NJ
2017,Cordova,99.2,AK
2017,Sitka,91.3,AK
2017,Port Hueneme-Oxnard-Ventura,90.6,CA
2017,Ketchikan,77.0,AK
2017,Petersburg,64.8,AK
2017,Gloucester,63.9,MA
2017,Seward,50.5,AK
2017,Portland,49.2,ME
2017,Point Judith,44.3,RI
2017,Los Angeles,43.2,CA
2017,Bristol Bay (Other),42.5,AK
2017,Point Pleasant,37.5,NJ
2017,Dulac-Chauvin,37.3,LA
2017,Honolulu,34.0,HI
2017,Kenai,31.9,AK
2017,Bayou La Batre,28.2,AL
2017,North Kingstown,27.0,RI
2017,Atlantic City,24.7,NJ
2017,Rockland,23.3,ME
2017,Brownsville-Port Isabel,23.0,TX
2017,Provincetown-Chatham,22.3,MA
2017,Palacios,20.2,TX
2017,Coos Bay-Charleston,19.3,OR
2017,Galveston,18.8,TX
2017,Grand Isle,18.4,LA
2017,Juneau,18.2,AK
2017,Stonington,17.9,ME
2017,Port Arthur,17.1,TX
2017,Egegik,16.2,AK
2017,Boston,15.8,MA
2017,Wanchese-Stumpy Point,15.7,NC
2017,Ilwaco-Chinook,15.6,WA
2017,Hampton Roads Area,15.5,VA
2017,Golden Meadow-Leeville,15.0,LA
2017,Key West,14.6,FL
2017,Beaufort-Morehead City,14.2,NC
2017,Tampa Bay-St. Petersburg,13.9,FL
2017,Monterey,13.6,CA
2017,Delacroix-Yscloskey,12.4,LA
2017,Moss Landing,10.3,CA
2017,Montauk,10.1,NY
2017,Jonesport,10.0,ME
2017,Fort Myers,10.0,FL
2017,Gulfport-Biloxi,9.9,MS
2017,Eureka,9.3,CA
2017,Princeton-Half Moon Bay,8.9,CA
2017,Engelhard-Swanquarter,8.9,NC
2017,Bellingham,8.9,WA
2017,Vinalhaven,8.8,ME
2017,Brookings,8.8,OR
2017,Long Beach-Barnegat,7.6,NJ
2017,Newport,7.3,RI
2017,St. Augustine,7.0,FL
2017,Upper Southeast (Other),6.9,AK
2017,Slidell-Covington,6.9,LA
2017,Beals Island,6.9,ME
2017,Morgan City-Berwick,6.8,LA
2017,Cape Canaveral,6.6,FL
2017,Mayport,6.4,FL
2017,Seattle,6.3,WA
2017,Accomac,5.9,VA
2017,Shelton,5.6,WA
2017,New London,5.6,CT
2017,Anacortes-La Conner,5.5,WA
2017,San Francisco Area,5.3,CA
2017,Fort Bragg,5.3,CA
2017,Darien-Bellville,5.1,GA
2017,Crescent City,5.1,CA
2017,Belford,5.1,NJ
2017,Wrangell,5.0,AK
2017,Pembroke,4.8,ME
2017,Portsmouth,4.6,NH
2017,Neah Bay,4.6,WA
2017,Iberia,4.5,LA
2017,Ocean City,4.4,MD
2017,Friendship,4.4,ME
2017,Oriental-Vandemere,4.1,NC
2017,Norton/Kotzebue Sound,4.1,AK
2017,Newington,4.1,NH
2017,Morro Bay,4.1,CA
2017,Homer,4.0,AK
2017,Santa Barbara,3.9,CA
2017,Hampton Bay-Shinnicock,3.8,NY
2017,Anchorage,3.8,AK
2017,Spruce Head,3.7,ME
2017,Yakutat,3.5,AK
2017,Panama City,3.5,FL
2017,Bodega Bay,3.5,CA
2017,Willapa Bay,3.4,WA
2017,Columbia,3.4,NC
2017,Fairhaven,3.2,MA
2017,Bon Secour-Gulf Shores,3.2,AL
2017,Owls Head,2.7,ME
2017,Milbridge,2.7,ME
2017,Bass Harbor,2.7,ME
2017,Sneads Ferry-Swansboro,2.6,NC
2017,Port Clyde,2.6,ME
2017,Ft. Pierce-St.Lucie,2.6,FL
2017,Swans Island,2.5,ME
2017,Belhaven-Washington,2.5,NC
2017,Apalachicola,2.4,FL
2017,Olympia,2.3,WA
2017,Fernandina Beach,2.3,FL
2017,Savannah,2.1,GA
2017,Everett,2.1,WA
2017,Southwest Harbor,2.0,ME
2017,San Diego,2.0,CA
2017,Chincoteague,1.9,VA
2017,Blaine,1.9,WA
2017,Tacoma,1.8,WA
2017,Stonington,1.8,CT
2017,Everglades City,1.4,FL
2017,Brunswick,1.0,GA
2017,La Push,0.9,WA
2017,Interior (Other),0.9,AK
2017,Elizabeth City,0.9,NC
2017,Cape Charles-Oyster,0.3,VA
2017,Greenport,0.2,NY
