Year,Port,Yield,State,Region,Port_ID
1981,"Brownsville-Port Isabel, TX",28.0,TX,0,0
1982,"Brownsville-Port Isabel, TX",19.0,TX,0,0
1983,"Brownsville-Port Isabel, TX",21.0,TX,0,0
1984,"Brownsville-Port Isabel, TX",23.0,TX,0,0
1985,"Brownsville-Port Isabel, TX",22.9,TX,0,0
1986,"Brownsville-Port Isabel, TX",25.5,TX,0,0
1987,"Brownsville-Port Isabel, TX",13.4,TX,0,0
1988,"Brownsville-Port Isabel, TX",13.8,TX,0,0
1989,"Brownsville-Port Isabel, TX",22.7,TX,0,0
1990,"Brownsville-Port Isabel, TX",25.2,TX,0,0
1991,"Brownsville-Port Isabel, TX",29.6,TX,0,0
1992,"Brownsville-Port Isabel, TX",22.9,TX,0,0
1993,"Brownsville-Port Isabel, TX",18.9,TX,0,0
1994,"Brownsville-Port Isabel, TX",21.0,TX,0,0
1995,"Brownsville-Port Isabel, TX",16.0,TX,0,0
1996,"Brownsville-Port Isabel, TX",22.0,TX,0,0
1997,"Brownsville-Port Isabel, TX",13.8,TX,0,0
1998,"Brownsville-Port Isabel, TX",24.7,TX,0,0
1999,"Brownsville-Port Isabel, TX",23.3,TX,0,0
2000,"Brownsville-Port Isabel, TX",29.2,TX,0,0
2001,"Brownsville-Port Isabel, TX",22.4,TX,0,0
2002,"Brownsville-Port Isabel, TX",19.9,TX,0,0
2003,"Brownsville-Port Isabel, TX",17.9,TX,0,0
2004,"Brownsville-Port Isabel, TX",18.7,TX,0,0
2005,"Brownsville-Port Isabel, TX",20.1,TX,0,0
2006,"Brownsville-Port Isabel, TX",30.5,TX,0,0
2007,"Brownsville-Port Isabel, TX",23.2,TX,0,0
2008,"Brownsville-Port Isabel, TX",20.4,TX,0,0
2009,"Brownsville-Port Isabel, TX",27.0,TX,0,0
2010,"Brownsville-Port Isabel, TX",22.7,TX,0,0
2011,"Brownsville-Port Isabel, TX",24.8,TX,0,0
2012,"Brownsville-Port Isabel, TX",23.0,TX,0,0
2013,"Brownsville-Port Isabel, TX",20.7,TX,0,0
2014,"Brownsville-Port Isabel, TX",12.1,TX,0,0
2015,"Brownsville-Port Isabel, TX",24.7,TX,0,0
2016,"Brownsville-Port Isabel, TX",18.0,TX,0,0
2017,"Brownsville-Port Isabel, TX",23.0,TX,0,0
1981,"Cape May-Wildwood, NJ",42.0,NJ,2,1
1982,"Cape May-Wildwood, NJ",45.2,NJ,2,1
1983,"Cape May-Wildwood, NJ",43.1,NJ,2,1
1984,"Cape May-Wildwood, NJ",52.9,NJ,2,1
1985,"Cape May-Wildwood, NJ",48.8,NJ,2,1
1986,"Cape May-Wildwood, NJ",56.7,NJ,2,1
1987,"Cape May-Wildwood, NJ",56.8,NJ,2,1
1988,"Cape May-Wildwood, NJ",48.0,NJ,2,1
1989,"Cape May-Wildwood, NJ",54.1,NJ,2,1
1990,"Cape May-Wildwood, NJ",69.4,NJ,2,1
1991,"Cape May-Wildwood, NJ",93.5,NJ,2,1
1992,"Cape May-Wildwood, NJ",94.5,NJ,2,1
1993,"Cape May-Wildwood, NJ",95.5,NJ,2,1
1994,"Cape May-Wildwood, NJ",85.4,NJ,2,1
1995,"Cape May-Wildwood, NJ",75.2,NJ,2,1
1996,"Cape May-Wildwood, NJ",82.6,NJ,2,1
1997,"Cape May-Wildwood, NJ",71.0,NJ,2,1
1998,"Cape May-Wildwood, NJ",93.9,NJ,2,1
1999,"Cape May-Wildwood, NJ",64.0,NJ,2,1
2000,"Cape May-Wildwood, NJ",58.9,NJ,2,1
2001,"Cape May-Wildwood, NJ",66.4,NJ,2,1
2002,"Cape May-Wildwood, NJ",60.1,NJ,2,1
2003,"Cape May-Wildwood, NJ",74.1,NJ,2,1
2004,"Cape May-Wildwood, NJ",98.1,NJ,2,1
2005,"Cape May-Wildwood, NJ",74.6,NJ,2,1
2006,"Cape May-Wildwood, NJ",66.3,NJ,2,1
2007,"Cape May-Wildwood, NJ",68.4,NJ,2,1
2008,"Cape May-Wildwood, NJ",82.9,NJ,2,1
2009,"Cape May-Wildwood, NJ",63.9,NJ,2,1
2010,"Cape May-Wildwood, NJ",43.1,NJ,2,1
2011,"Cape May-Wildwood, NJ",39.5,NJ,2,1
2012,"Cape May-Wildwood, NJ",27.8,NJ,2,1
2013,"Cape May-Wildwood, NJ",20.4,NJ,2,1
2014,"Cape May-Wildwood, NJ",49.9,NJ,2,1
2015,"Cape May-Wildwood, NJ",77.2,NJ,2,1
2016,"Cape May-Wildwood, NJ",46.6,NJ,2,1
2017,"Cape May-Wildwood, NJ",101.6,NJ,2,1
1981,"Coos Bay-Charleston, OR",36.0,OR,5,2
1982,"Coos Bay-Charleston, OR",37.0,OR,5,2
