Year,Port,Yield,State,Region,Port_ID,Temp,MSL
1981,"Brownsville-Port Isabel, TX",28.0,TX,0,0,21.08372192382813,-0.084
1982,"Brownsville-Port Isabel, TX",19.0,TX,0,0,21.83819274902344,-0.048
1983,"Brownsville-Port Isabel, TX",21.0,TX,0,0,22.162635803222656,0.042
1984,"Brownsville-Port Isabel, TX",23.0,TX,0,0,21.856948852539066,0.015
1985,"Brownsville-Port Isabel, TX",22.9,TX,0,0,21.43865356445313,
1986,"Brownsville-Port Isabel, TX",25.5,TX,0,0,21.851205444335946,-0.023
1987,"Brownsville-Port Isabel, TX",13.4,TX,0,0,22.14641876220703,-0.046
1988,"Brownsville-Port Isabel, TX",13.8,TX,0,0,20.97545928955078,-0.027000000000000003
1989,"Brownsville-Port Isabel, TX",22.7,TX,0,0,22.771275329589844,0.003
1990,"Brownsville-Port Isabel, TX",25.2,TX,0,0,21.371505737304688,-0.129
1991,"Brownsville-Port Isabel, TX",29.6,TX,0,0,21.739996337890624,0.043
1992,"Brownsville-Port Isabel, TX",22.9,TX,0,0,21.359967041015626,0.057
1993,"Brownsville-Port Isabel, TX",18.9,TX,0,0,21.91691436767578,0.087
1994,"Brownsville-Port Isabel, TX",21.0,TX,0,0,20.840213012695312,-0.019
1995,"Brownsville-Port Isabel, TX",16.0,TX,0,0,21.557093811035166,-0.031
1996,"Brownsville-Port Isabel, TX",22.0,TX,0,0,21.13331298828125,-0.018000000000000002
1997,"Brownsville-Port Isabel, TX",13.8,TX,0,0,21.717680358886717,0.101
1998,"Brownsville-Port Isabel, TX",24.7,TX,0,0,21.217025756835934,-0.015
1999,"Brownsville-Port Isabel, TX",23.3,TX,0,0,21.78662109375,0.053
2000,"Brownsville-Port Isabel, TX",29.2,TX,0,0,22.222737121582032,0.017
2001,"Brownsville-Port Isabel, TX",22.4,TX,0,0,21.48817443847656,-0.053
2002,"Brownsville-Port Isabel, TX",19.9,TX,0,0,21.75797119140625,0.005
2003,"Brownsville-Port Isabel, TX",17.9,TX,0,0,20.573486328125,-0.013
2004,"Brownsville-Port Isabel, TX",18.7,TX,0,0,21.330018615722658,0.128
2005,"Brownsville-Port Isabel, TX",20.1,TX,0,0,21.996621704101567,0.15
2006,"Brownsville-Port Isabel, TX",30.5,TX,0,0,21.529981994628905,-0.063
2007,"Brownsville-Port Isabel, TX",23.2,TX,0,0,21.975361633300786,0.093
2008,"Brownsville-Port Isabel, TX",20.4,TX,0,0,21.8832763671875,0.188
2009,"Brownsville-Port Isabel, TX",27.0,TX,0,0,21.62444610595703,0.029
2010,"Brownsville-Port Isabel, TX",22.7,TX,0,0,20.660635375976558,0.08199999999999999
2012,"Brownsville-Port Isabel, TX",23.0,TX,0,0,21.739210510253905,-0.001
2013,"Brownsville-Port Isabel, TX",20.7,TX,0,0,22.385794067382808,0.055
2014,"Brownsville-Port Isabel, TX",12.1,TX,0,0,21.24218292236328,0.032
2015,"Brownsville-Port Isabel, TX",24.7,TX,0,0,22.272434997558594,0.08199999999999999
2016,"Brownsville-Port Isabel, TX",18.0,TX,0,0,22.47634735107421,0.213
1981,"Cape May-Wildwood, NJ",42.0,NJ,2,1,9.201944986979166,-0.13
1982,"Cape May-Wildwood, NJ",45.2,NJ,2,1,9.14357164171007,-0.14
1983,"Cape May-Wildwood, NJ",43.1,NJ,2,1,11.655029296875,0.031
1984,"Cape May-Wildwood, NJ",52.9,NJ,2,1,10.018180847167967,0.034
1985,"Cape May-Wildwood, NJ",48.8,NJ,2,1,10.662642584906685,-0.033
1986,"Cape May-Wildwood, NJ",56.7,NJ,2,1,10.715660095214844,-0.112
1987,"Cape May-Wildwood, NJ",56.8,NJ,2,1,10.380788167317707,0.052000000000000005
1988,"Cape May-Wildwood, NJ",48.0,NJ,2,1,9.141147189670141,-0.069
1989,"Cape May-Wildwood, NJ",54.1,NJ,2,1,9.762672424316406,-0.027000000000000003
1990,"Cape May-Wildwood, NJ",69.4,NJ,2,1,9.243935479058159,-0.118
1991,"Cape May-Wildwood, NJ",93.5,NJ,2,1,10.590282864040796,0.013
1992,"Cape May-Wildwood, NJ",94.5,NJ,2,1,9.684686448838976,0.031
1993,"Cape May-Wildwood, NJ",95.5,NJ,2,1,9.943673027886284,0.04
1994,"Cape May-Wildwood, NJ",85.4,NJ,2,1,9.5807130601671,-0.08199999999999999
1995,"Cape May-Wildwood, NJ",75.2,NJ,2,1,10.937942504882812,-0.001
1996,"Cape May-Wildwood, NJ",82.6,NJ,2,1,8.915150112575953,0.134
1997,"Cape May-Wildwood, NJ",71.0,NJ,2,1,9.477572970920141,0.058
1998,"Cape May-Wildwood, NJ",93.9,NJ,2,1,9.9782469007704,0.16699999999999998
1999,"Cape May-Wildwood, NJ",64.0,NJ,2,1,10.184391445583769,0.012
2000,"Cape May-Wildwood, NJ",58.9,NJ,2,1,11.536813524034288,-0.032
2001,"Cape May-Wildwood, NJ",66.4,NJ,2,1,9.107948303222656,0.058
2002,"Cape May-Wildwood, NJ",60.1,NJ,2,1,11.179234822591148,-0.032
2003,"Cape May-Wildwood, NJ",74.1,NJ,2,1,9.370829264322916,0.014
2004,"Cape May-Wildwood, NJ",98.1,NJ,2,1,9.481597052680122,-0.018000000000000002
2005,"Cape May-Wildwood, NJ",74.6,NJ,2,1,10.225099351671007,0.166
2006,"Cape May-Wildwood, NJ",66.3,NJ,2,1,10.744933234320747,0.105
2007,"Cape May-Wildwood, NJ",68.4,NJ,2,1,11.851536220974396,0.038
2008,"Cape May-Wildwood, NJ",82.9,NJ,2,1,9.835394965277779,0.068
2009,"Cape May-Wildwood, NJ",63.9,NJ,2,1,9.13500467936198,0.042
2010,"Cape May-Wildwood, NJ",43.1,NJ,2,1,9.93700154622396,0.16899999999999998
2011,"Cape May-Wildwood, NJ",39.5,NJ,2,1,9.086321512858072,0.133
2012,"Cape May-Wildwood, NJ",27.8,NJ,2,1,11.30772908528646,0.065
2013,"Cape May-Wildwood, NJ",20.4,NJ,2,1,11.031234741210938,0.061
2014,"Cape May-Wildwood, NJ",49.9,NJ,2,1,10.310914781358507,0.038
2015,"Cape May-Wildwood, NJ",77.2,NJ,2,1,10.702760484483507,0.034
2016,"Cape May-Wildwood, NJ",46.6,NJ,2,1,12.452767266167536,0.179
2017,"Cape May-Wildwood, NJ",101.6,NJ,2,1,12.442252265082464,0.141
1981,"Coos Bay-Charleston, OR",36.0,OR,5,2,11.027907235281804,0.05
1982,"Coos Bay-Charleston, OR",37.0,OR,5,2,9.672733851841516,-0.071
1983,"Coos Bay-Charleston, OR",26.2,OR,5,2,10.465826851981026,0.206
1984,"Coos Bay-Charleston, OR",20.1,OR,5,2,10.308550153459821,-0.118
1985,"Coos Bay-Charleston, OR",25.6,OR,5,2,9.92005375453404,-0.096
1986,"Coos Bay-Charleston, OR",24.3,OR,5,2,9.740887233189174,0.059
1987,"Coos Bay-Charleston, OR",29.6,OR,5,2,10.497266496930804,-0.02
1988,"Coos Bay-Charleston, OR",33.0,OR,5,2,10.015007019042967,-0.038
1989,"Coos Bay-Charleston, OR",34.9,OR,5,2,9.395544869559153,-0.197
1990,"Coos Bay-Charleston, OR",31.8,OR,5,2,10.338781084333148,-0.07200000000000001
1991,"Coos Bay-Charleston, OR",30.0,OR,5,2,9.069812774658203,-0.136
1992,"Coos Bay-Charleston, OR",38.0,OR,5,2,10.283482142857142,0.021
1993,"Coos Bay-Charleston, OR",29.0,OR,5,2,9.667272295270648,0.09
1994,"Coos Bay-Charleston, OR",24.0,OR,5,2,10.956206185477116,-0.029
1995,"Coos Bay-Charleston, OR",21.0,OR,5,2,10.03462655203683,0.26
1996,"Coos Bay-Charleston, OR",24.0,OR,5,2,10.997376578194757,0.027000000000000003
