Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1970,4,-0.144,,-0.028,-0.008,-0.049,
1970,5,-0.081,,-0.028,-0.007,-0.049,
1970,6,-0.018,,-0.028,-0.007,-0.049,
1970,7,-0.043,,-0.028,-0.007,-0.049,
1970,8,-0.056,,-0.028,-0.007,-0.048,
1970,9,-0.086,,-0.028,-0.007,-0.048,
1970,10,-0.011,,-0.028,-0.007,-0.048,
1970,11,0.042,,-0.028,-0.007,-0.048,
1970,12,0.095,,-0.028,-0.007,-0.048,
1971,1,-0.130,,-0.027,-0.007,-0.048,
1971,2,-0.160,,-0.027,-0.007,-0.048,
1971,3,-0.030,,-0.027,-0.007,-0.047,
1971,4,0.008,,-0.027,-0.007,-0.047,
1971,5,-0.038,,-0.027,-0.007,-0.047,
1971,6,0.007,,-0.027,-0.007,-0.047,
1971,7,-0.019,,-0.027,-0.007,-0.047,
1971,8,0.020,,-0.027,-0.007,-0.047,
1971,9,0.002,,-0.027,-0.007,-0.047,
1971,10,-0.069,,-0.027,-0.007,-0.046,
1971,11,-0.072,,-0.027,-0.007,-0.046,
1971,12,-0.003,,-0.026,-0.007,-0.046,
1972,1,-0.081,,-0.026,-0.007,-0.046,
1972,2,-0.013,,-0.026,-0.007,-0.046,
1972,3,-0.000,,-0.026,-0.007,-0.046,
1972,4,0.017,,-0.026,-0.007,-0.046,
1972,5,-0.017,,-0.026,-0.007,-0.045,
1972,6,0.029,,-0.026,-0.007,-0.045,
1972,7,0.028,,-0.026,-0.006,-0.045,
1972,8,0.035,,-0.026,-0.006,-0.045,
1972,9,0.018,,-0.026,-0.006,-0.045,
1972,10,-0.001,,-0.026,-0.006,-0.045,
1972,11,0.058,,-0.025,-0.006,-0.045,
1972,12,0.028,,-0.025,-0.006,-0.044,
1973,1,0.056,,-0.025,-0.006,-0.044,
1973,2,0.058,,-0.025,-0.006,-0.044,
1973,3,-0.018,,-0.025,-0.006,-0.044,
1973,4,-0.163,,-0.025,-0.006,-0.044,
1973,5,-0.063,,-0.025,-0.006,-0.044,
1973,6,-0.042,,-0.025,-0.006,-0.044,
1973,7,-0.086,,-0.025,-0.006,-0.043,
1973,8,-0.086,,-0.025,-0.006,-0.043,
1973,9,-0.056,,-0.025,-0.006,-0.043,
1973,10,-0.044,,-0.024,-0.006,-0.043,
1973,11,0.079,,-0.024,-0.006,-0.043,
1973,12,0.089,,-0.024,-0.006,-0.043,
1974,1,-0.057,,-0.024,-0.006,-0.043,
1974,2,-0.077,,-0.024,-0.006,-0.042,
1974,3,0.064,,-0.024,-0.006,-0.042,
1974,4,0.020,,-0.024,-0.006,-0.042,
1974,5,-0.044,,-0.024,-0.006,-0.042,
