Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1947,1,-0.531,U,-0.617,-0.599,-0.634,
1947,2,-0.620,U,-0.616,-0.598,-0.634,
1947,3,-0.579,U,-0.615,-0.598,-0.633,
1947,4,-0.580,U,-0.614,-0.597,-0.632,
1947,5,-0.559,U,-0.614,-0.596,-0.631,
1947,6,-0.553,U,-0.613,-0.595,-0.630,
1947,7,-0.604,U,-0.612,-0.595,-0.630,
1947,8,-0.538,U,-0.611,-0.594,-0.629,
1947,9,-0.612,U,-0.611,-0.593,-0.628,
1947,10,-0.591,U,-0.610,-0.593,-0.627,
1947,11,-0.490,U,-0.609,-0.592,-0.627,
1947,12,-0.494,U,-0.608,-0.591,-0.626,
1948,1,-0.577,U,-0.608,-0.590,-0.625,
1948,2,-0.584,U,-0.607,-0.590,-0.624,
1948,3,-0.405,U,-0.606,-0.589,-0.623,
1948,4,-0.474,U,-0.605,-0.588,-0.623,
1948,5,-0.544,U,-0.605,-0.587,-0.622,
1948,6,-0.587,U,-0.604,-0.587,-0.621,
1948,7,-0.512,U,-0.603,-0.586,-0.620,
1948,8,-0.529,U,-0.602,-0.585,-0.619,
1948,9,-0.503,U,-0.602,-0.585,-0.619,
1948,10,-0.536,U,-0.601,-0.584,-0.618,
1948,11,-0.497,U,-0.600,-0.583,-0.617,
1948,12,-0.552,U,-0.599,-0.582,-0.616,
1949,1,-0.531,U,-0.599,-0.582,-0.616,
1949,2,-0.495,U,-0.598,-0.581,-0.615,
1949,3,-0.524,U,-0.597,-0.580,-0.614,
1949,4,-0.571,U,-0.596,-0.579,-0.613,
1949,5,-0.565,U,-0.596,-0.579,-0.612,
1949,6,-0.559,U,-0.595,-0.578,-0.612,
1949,7,-0.524,U,-0.594,-0.577,-0.611,
1949,8,-0.614,U,-0.593,-0.577,-0.610,
1949,9,-0.542,U,-0.593,-0.576,-0.609,
1949,10,-0.447,U,-0.592,-0.575,-0.608,
1949,11,-0.628,U,-0.591,-0.574,-0.608,
1949,12,-0.524,U,-0.590,-0.574,-0.607,
1950,1,-0.394,U,-0.590,-0.573,-0.606,
1950,2,-0.459,U,-0.589,-0.572,-0.605,
1950,3,-0.518,U,-0.588,-0.572,-0.605,
1950,4,-0.531,U,-0.587,-0.571,-0.604,
1950,5,-0.602,U,-0.586,-0.570,-0.603,
1950,6,-0.605,U,-0.586,-0.569,-0.602,
1950,7,-0.555,U,-0.585,-0.569,-0.601,
1950,8,-0.501,U,-0.584,-0.568,-0.601,
1950,9,-0.570,U,-0.583,-0.567,-0.600,
1950,10,-0.563,U,-0.583,-0.566,-0.599,
1950,11,-0.652,U,-0.582,-0.566,-0.598,
1950,12,-0.597,U,-0.581,-0.565,-0.597,
1951,1,-0.574,U,-0.580,-0.564,-0.597,
1951,2,-0.596,U,-0.580,-0.564,-0.596,
1951,3,-0.533,U,-0.579,-0.563,-0.595,
1951,4,-0.595,U,-0.578,-0.562,-0.594,
1951,5,-0.648,U,-0.577,-0.561,-0.594,
1951,6,-0.632,U,-0.577,-0.561,-0.593,
1951,7,-0.588,U,-0.576,-0.560,-0.592,
1951,8,-0.611,U,-0.575,-0.559,-0.591,
1951,9,-0.615,U,-0.574,-0.558,-0.590,
1951,10,-0.606,U,-0.574,-0.558,-0.590,
1951,11,-0.640,U,-0.573,-0.557,-0.589,
1951,12,-0.506,U,-0.572,-0.556,-0.588,
1952,1,-0.488,U,-0.571,-0.556,-0.587,
1952,2,-0.501,U,-0.571,-0.555,-0.586,
1952,3,-0.518,U,-0.570,-0.554,-0.586,
1952,4,-0.623,U,-0.569,-0.553,-0.585,
1952,5,-0.581,U,-0.568,-0.553,-0.584,
1952,6,-0.620,U,-0.568,-0.552,-0.583,
1952,7,-0.536,U,-0.567,-0.551,-0.583,
1952,8,-0.632,U,-0.566,-0.550,-0.582,
1952,9,-0.603,U,-0.565,-0.550,-0.581,
1952,10,-0.716,U,-0.565,-0.549,-0.580,
1952,11,-0.667,U,-0.564,-0.548,-0.579,
1952,12,-0.588,U,-0.563,-0.548,-0.579,
1953,1,-0.635,U,-0.562,-0.547,-0.578,
1953,2,-0.578,U,-0.562,-0.546,-0.577,
1953,3,-0.573,U,-0.561,-0.545,-0.576,
1953,4,-0.586,U,-0.560,-0.545,-0.575,
1953,5,-0.559,U,-0.559,-0.544,-0.575,
