Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1905,1,-0.120,U,-0.122,-0.108,-0.136,
1905,2,-0.120,U,-0.122,-0.108,-0.136,
1905,3,-0.107,U,-0.122,-0.108,-0.136,
1905,4,-0.134,U,-0.122,-0.108,-0.135,
1905,5,-0.115,U,-0.122,-0.108,-0.135,
1905,6,-0.162,U,-0.121,-0.108,-0.135,
1905,7,-0.175,U,-0.121,-0.108,-0.135,
1905,8,-0.164,U,-0.121,-0.108,-0.135,
1905,9,-0.139,U,-0.121,-0.107,-0.135,
1905,10,-0.163,U,-0.121,-0.107,-0.135,
1905,11,-0.193,U,-0.121,-0.107,-0.134,
1905,12,-0.220,U,-0.121,-0.107,-0.134,
1906,1,-0.153,U,-0.121,-0.107,-0.134,
1906,2,-0.141,U,-0.120,-0.107,-0.134,
1906,3,-0.140,U,-0.120,-0.107,-0.134,
1906,4,-0.119,U,-0.120,-0.107,-0.134,
1906,5,-0.085,U,-0.120,-0.107,-0.134,
1906,6,-0.131,U,-0.120,-0.106,-0.133,
1906,7,-0.130,U,-0.120,-0.106,-0.133,
1906,8,-0.121,U,-0.120,-0.106,-0.133,
1906,9,-0.078,U,-0.120,-0.106,-0.133,
1906,10,-0.096,U,-0.119,-0.106,-0.133,
1906,11,-0.071,U,-0.119,-0.106,-0.133,
1906,12,-0.074,U,-0.119,-0.106,-0.133,
1907,1,-0.074,U,-0.119,-0.106,-0.132,
1907,2,-0.132,U,-0.119,-0.106,-0.132,
1907,3,-0.131,U,-0.119,-0.105,-0.132,
1907,4,-0.171,U,-0.119,-0.105,-0.132,
1907,5,-0.079,U,-0.119,-0.105,-0.132,
1907,6,-0.058,U,-0.118,-0.105,-0.132,
1907,7,-0.066,U,-0.118,-0.105,-0.132,
1907,8,-0.069,U,-0.118,-0.105,-0.132,
1907,9,-0.096,U,-0.118,-0.105,-0.131,
1907,10,-0.102,U,-0.118,-0.105,-0.131,
1907,11,-0.132,U,-0.118,-0.105,-0.131,
1907,12,-0.135,U,-0.118,-0.104,-0.131,
1908,1,-0.132,U,-0.118,-0.104,-0.131,
1908,2,-0.111,U,-0.117,-0.104,-0.131,
1908,3,-0.073,U,-0.117,-0.104,-0.131,
1908,4,-0.113,U,-0.117,-0.104,-0.130,
1908,5,-0.066,U,-0.117,-0.104,-0.130,
1908,6,-0.067,U,-0.117,-0.104,-0.130,
1908,7,-0.115,U,-0.117,-0.104,-0.130,
1908,8,-0.127,U,-0.117,-0.104,-0.130,
1908,9,-0.142,U,-0.117,-0.103,-0.130,
1908,10,-0.138,U,-0.116,-0.103,-0.130,
1908,11,-0.181,U,-0.116,-0.103,-0.129,
1908,12,-0.193,U,-0.116,-0.103,-0.129,
1909,1,-0.196,U,-0.116,-0.103,-0.129,
1909,2,-0.199,U,-0.116,-0.103,-0.129,
1909,3,-0.156,U,-0.116,-0.103,-0.129,
1909,4,-0.141,U,-0.116,-0.103,-0.129,
1909,5,-0.219,U,-0.116,-0.103,-0.129,
