Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1936,1,1.052,U,1.048,1.065,1.031,
1936,2,0.915,U,1.047,1.064,1.030,
1936,3,0.928,U,1.046,1.063,1.029,
1936,4,0.964,U,1.045,1.061,1.028,
1936,5,1.051,U,1.044,1.060,1.027,
1936,6,1.101,,1.043,1.059,1.026,
1936,7,1.112,,1.042,1.058,1.025,
1936,8,1.025,,1.040,1.057,1.024,
1936,9,0.997,,1.039,1.056,1.023,
1936,10,1.002,,1.038,1.055,1.022,
1936,11,1.082,,1.037,1.054,1.021,
1936,12,1.073,,1.036,1.052,1.020,
1937,1,0.711,,1.035,1.051,1.018,
1937,2,0.997,,1.034,1.050,1.017,
1937,3,1.023,,1.033,1.049,1.016,
1937,4,1.065,,1.032,1.048,1.015,
1937,5,1.044,,1.030,1.047,1.014,
1937,6,1.049,,1.029,1.046,1.013,
1937,7,1.039,,1.028,1.045,1.012,
1937,8,1.098,,1.027,1.043,1.011,
1937,9,0.979,,1.026,1.042,1.010,
1937,10,1.005,,1.025,1.041,1.009,
1937,11,1.051,,1.024,1.040,1.008,
1937,12,1.027,,1.023,1.039,1.007,
1938,1,1.037,,1.022,1.038,1.005,
1938,2,0.985,,1.021,1.037,1.004,
1938,3,1.105,,1.019,1.036,1.003,
1938,4,1.047,,1.018,1.034,1.002,
1938,5,1.011,,1.017,1.033,1.001,
1938,6,0.991,,1.016,1.032,1.000,
1938,7,0.990,,1.015,1.031,0.999,
1938,8,0.934,,1.014,1.030,0.998,
1938,9,1.025,,1.013,1.029,0.997,
1938,10,1.057,,1.012,1.028,0.996,
1938,11,0.984,,1.011,1.026,0.995,
1938,12,1.006,,1.009,1.025,0.994,
1939,1,1.062,,1.008,1.024,0.993,
1939,2,0.872,,1.007,1.023,0.991,
1939,3,0.922,,1.006,1.022,0.990,
1939,4,0.937,,1.005,1.021,0.989,
1939,5,1.026,,1.004,1.020,0.988,
1939,6,0.964,,1.003,1.019,0.987,
1939,7,1.024,,1.002,1.017,0.986,
1939,8,1.031,,1.001,1.016,0.985,
1939,9,1.052,,1.000,1.015,0.984,
1939,10,0.987,,0.998,1.014,0.983,
1939,11,1.109,,0.997,1.013,0.982,
1939,12,1.274,,0.996,1.012,0.981,
1940,1,1.089,,0.995,1.011,0.980,
1940,2,1.131,,0.994,1.010,0.978,
1940,3,1.108,,0.993,1.008,0.977,
1940,4,1.007,,0.992,1.007,0.976,
1940,5,1.066,,0.991,1.006,0.975,
1940,6,1.003,,0.990,1.005,0.974,
