Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1947,10,-0.162,,-0.134,-0.123,-0.145,
1947,11,-0.024,,-0.134,-0.123,-0.144,
1947,12,-0.198,,-0.134,-0.123,-0.144,
1948,1,-0.150,,-0.133,-0.123,-0.144,
1948,2,-0.132,,-0.133,-0.122,-0.144,
1948,3,-0.121,,-0.133,-0.122,-0.143,
1948,4,-0.147,,-0.132,-0.122,-0.143,
1948,5,-0.087,,-0.132,-0.122,-0.143,
1948,6,-0.094,,-0.132,-0.121,-0.142,
1948,7,-0.085,,-0.132,-0.121,-0.142,
1948,8,-0.112,,-0.131,-0.121,-0.142,
1948,9,-0.110,,-0.131,-0.121,-0.142,
1948,10,-0.050,,-0.131,-0.120,-0.141,
1948,11,-0.091,,-0.130,-0.120,-0.141,
1948,12,-0.009,,-0.130,-0.120,-0.141,
1949,1,-0.086,,-0.130,-0.120,-0.140,
1949,2,-0.077,,-0.130,-0.119,-0.140,
1949,3,-0.161,,-0.129,-0.119,-0.140,
1949,4,-0.101,,-0.129,-0.119,-0.139,
1949,5,-0.114,,-0.129,-0.119,-0.139,
1949,6,-0.161,,-0.129,-0.118,-0.139,
1949,7,-0.122,,-0.128,-0.118,-0.139,
1949,8,-0.109,,-0.128,-0.118,-0.138,
1949,9,-0.141,,-0.128,-0.117,-0.138,
1949,10,-0.126,,-0.127,-0.117,-0.138,
1949,11,-0.106,,-0.127,-0.117,-0.137,
1949,12,-0.223,,-0.127,-0.117,-0.137,
1950,1,-0.171,,-0.127,-0.116,-0.137,
1950,2,-0.128,,-0.126,-0.116,-0.136,
1950,3,-0.261,,-0.126,-0.116,-0.136,
1950,4,-0.153,,-0.126,-0.116,-0.136,
1950,5,-0.209,,-0.126,-0.115,-0.136,
1950,6,-0.203,,-0.125,-0.115,-0.135,
1950,7,-0.183,,-0.125,-0.115,-0.135,
1950,8,-0.142,,-0.125,-0.115,-0.135,
1950,9,-0.132,,-0.124,-0.114,-0.134,
1950,10,-0.144,,-0.124,-0.114,-0.134,
1950,11,-0.066,,-0.124,-0.114,-0.134,
1950,12,-0.073,,-0.124,-0.114,-0.134,
1951,1,-0.132,,-0.123,-0.113,-0.133,
1951,2,-0.132,,-0.123,-0.113,-0.133,
1951,3,-0.011,,-0.123,-0.113,-0.133,
1951,4,-0.104,,-0.122,-0.113,-0.132,
1951,5,-0.066,,-0.122,-0.112,-0.132,
1951,6,-0.057,,-0.122,-0.112,-0.132,
1951,7,-0.119,,-0.122,-0.112,-0.131,
1951,8,-0.090,,-0.121,-0.112,-0.131,
1951,9,-0.107,,-0.121,-0.111,-0.131,
1951,10,-0.083,,-0.121,-0.111,-0.131,
1951,11,-0.112,,-0.121,-0.111,-0.130,
1951,12,-0.134,,-0.120,-0.111,-0.130,
1952,1,-0.068,,-0.120,-0.110,-0.130,
1952,2,-0.068,,-0.120,-0.110,-0.129,
