Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1973,12,-0.088,,-0.035,-0.013,-0.057,
1974,1,-0.050,,-0.035,-0.013,-0.057,
1974,2,-0.103,,-0.035,-0.013,-0.057,
1974,3,-0.042,,-0.035,-0.013,-0.056,
1974,4,-0.010,,-0.035,-0.013,-0.056,
1974,5,-0.034,,-0.035,-0.013,-0.056,
1974,6,-0.012,,-0.034,-0.013,-0.056,
1974,7,-0.042,,-0.034,-0.013,-0.056,
1974,8,-0.050,,-0.034,-0.013,-0.056,
1974,9,-0.055,,-0.034,-0.013,-0.055,
1974,10,-0.064,,-0.034,-0.013,-0.055,
1974,11,-0.066,,-0.034,-0.013,-0.055,
1974,12,-0.088,,-0.034,-0.013,-0.055,
1975,1,-0.114,,-0.034,-0.013,-0.055,
1975,2,-0.081,,-0.033,-0.012,-0.054,
1975,3,-0.055,,-0.033,-0.012,-0.054,
1975,4,-0.034,,-0.033,-0.012,-0.054,
1975,5,-0.067,,-0.033,-0.012,-0.054,
1975,6,-0.045,,-0.033,-0.012,-0.054,
1975,7,-0.081,,-0.033,-0.012,-0.053,
1975,8,-0.075,,-0.033,-0.012,-0.053,
1975,9,-0.070,,-0.033,-0.012,-0.053,
1975,10,-0.109,,-0.032,-0.012,-0.053,
1975,11,-0.112,,-0.032,-0.012,-0.053,
1975,12,-0.152,,-0.032,-0.012,-0.052,
1976,1,-0.147,,-0.032,-0.012,-0.052,
1976,2,-0.075,,-0.032,-0.012,-0.052,
1976,3,-0.094,,-0.032,-0.012,-0.052,
1976,4,-0.022,,-0.032,-0.011,-0.052,
1976,5,-0.040,,-0.031,-0.011,-0.052,
1976,6,-0.036,,-0.031,-0.011,-0.051,
1976,7,-0.020,,-0.031,-0.011,-0.051,
1976,8,-0.038,,-0.031,-0.011,-0.051,
1976,9,-0.006,,-0.031,-0.011,-0.051,
1976,10,-0.015,,-0.031,-0.011,-0.051,
1976,11,0.010,,-0.031,-0.011,-0.050,
1976,12,0.046,,-0.031,-0.011,-0.050,
1977,1,-0.007,,-0.030,-0.011,-0.050,
1977,2,-0.094,,-0.030,-0.011,-0.050,
1977,3,-0.134,,-0.030,-0.011,-0.050,
1977,4,-0.095,,-0.030,-0.011,-0.049,
1977,5,-0.076,,-0.030,-0.011,-0.049,
1977,6,-0.045,,-0.030,-0.010,-0.049,
1977,7,-0.075,,-0.030,-0.010,-0.049,
1977,8,-0.044,,-0.029,-0.010,-0.049,
1977,9,-0.034,,-0.029,-0.010,-0.048,
1977,10,-0.042,,-0.029,-0.010,-0.048,
1977,11,-0.051,,-0.029,-0.010,-0.048,
1977,12,-0.000,,-0.029,-0.010,-0.048,
1978,1,0.064,,-0.029,-0.010,-0.048,
1978,2,0.043,,-0.029,-0.010,-0.048,
1978,3,0.043,,-0.029,-0.010,-0.047,
1978,4,0.015,,-0.028,-0.010,-0.047,
1978,5,-0.049,,-0.028,-0.010,-0.047,
1978,6,-0.091,,-0.028,-0.010,-0.047,
1978,7,-0.066,,-0.028,-0.009,-0.047,
1978,8,-0.038,,-0.028,-0.009,-0.046,
1978,9,-0.046,,-0.028,-0.009,-0.046,
1978,10,-0.021,,-0.028,-0.009,-0.046,
1978,11,-0.014,,-0.028,-0.009,-0.046,
1978,12,-0.052,,-0.027,-0.009,-0.046,
1979,1,0.034,,-0.027,-0.009,-0.045,
1979,2,-0.005,,-0.027,-0.009,-0.045,
1979,3,-0.000,,-0.027,-0.009,-0.045,
1979,4,-0.031,,-0.027,-0.009,-0.045,
1979,5,-0.031,,-0.027,-0.009,-0.045,
1979,6,-0.058,,-0.027,-0.009,-0.045,
1979,7,-0.051,,-0.026,-0.009,-0.044,
1979,8,-0.047,,-0.026,-0.009,-0.044,
1979,9,-0.055,,-0.026,-0.008,-0.044,
1979,10,-0.048,,-0.026,-0.008,-0.044,
1979,11,-0.045,,-0.026,-0.008,-0.044,
1979,12,-0.030,,-0.026,-0.008,-0.043,
1980,1,0.040,,-0.026,-0.008,-0.043,
1980,2,0.071,,-0.026,-0.008,-0.043,
