Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1938,7,-0.158,,-0.131,-0.121,-0.141,
1938,8,-0.132,,-0.131,-0.121,-0.141,
1938,9,,,-0.130,-0.121,-0.140,
1938,10,-0.134,,-0.130,-0.120,-0.140,
1938,11,-0.211,,-0.130,-0.120,-0.140,
1938,12,-0.122,,-0.130,-0.120,-0.140,
1939,1,-0.131,,-0.130,-0.120,-0.139,
1939,2,-0.129,,-0.129,-0.120,-0.139,
1939,3,-0.132,,-0.129,-0.119,-0.139,
1939,4,-0.132,,-0.129,-0.119,-0.139,
1939,5,-0.115,,-0.129,-0.119,-0.139,
1939,6,-0.133,,-0.129,-0.119,-0.138,
1939,7,-0.124,,-0.128,-0.118,-0.138,
1939,8,-0.111,,-0.128,-0.118,-0.138,
1939,9,-0.115,,-0.128,-0.118,-0.138,
1939,10,-0.152,,-0.128,-0.118,-0.137,
1939,11,-0.156,,-0.127,-0.118,-0.137,
1939,12,-0.138,,-0.127,-0.117,-0.137,
1940,1,-0.177,,-0.127,-0.117,-0.137,
1940,2,-0.019,,-0.127,-0.117,-0.136,
1940,3,-0.157,,-0.127,-0.117,-0.136,
1940,4,-0.120,,-0.126,-0.117,-0.136,
1940,5,-0.073,,-0.126,-0.116,-0.136,
1940,6,-0.106,,-0.126,-0.116,-0.135,
1940,7,-0.136,,-0.126,-0.116,-0.135,
1940,8,-0.150,,-0.125,-0.116,-0.135,
1940,9,-0.121,,-0.125,-0.116,-0.135,
1940,10,-0.122,,-0.125,-0.115,-0.135,
1940,11,-0.165,,-0.125,-0.115,-0.134,
1940,12,-0.107,,-0.125,-0.115,-0.134,
1941,1,-0.064,,-0.124,-0.115,-0.134,
1941,2,-0.126,,-0.124,-0.115,-0.134,
1941,3,-0.181,,-0.124,-0.114,-0.133,
1941,4,-0.132,,-0.124,-0.114,-0.133,
1941,5,-0.128,,-0.123,-0.114,-0.133,
1941,6,-0.118,,-0.123,-0.114,-0.133,
1941,7,-0.112,,-0.123,-0.114,-0.132,
1941,8,-0.126,,-0.123,-0.113,-0.132,
1941,9,-0.151,,-0.123,-0.113,-0.132,
1941,10,-0.168,,-0.122,-0.113,-0.132,
1941,11,-0.165,,-0.122,-0.113,-0.131,
1941,12,-0.131,,-0.122,-0.113,-0.131,
1942,1,-0.128,,-0.122,-0.112,-0.131,
1942,2,-0.123,,-0.121,-0.112,-0.131,
1942,3,-0.071,,-0.121,-0.112,-0.131,
1942,4,-0.104,,-0.121,-0.112,-0.130,
1942,5,-0.137,,-0.121,-0.111,-0.130,
1942,6,-0.094,,-0.121,-0.111,-0.130,
1942,7,-0.106,,-0.120,-0.111,-0.130,
1942,8,-0.123,,-0.120,-0.111,-0.129,
1942,9,-0.097,,-0.120,-0.111,-0.129,
1942,10,-0.116,,-0.120,-0.110,-0.129,
1942,11,-0.122,,-0.119,-0.110,-0.129,
1942,12,-0.144,,-0.119,-0.110,-0.128,
1943,1,-0.128,,-0.119,-0.110,-0.128,
1943,2,-0.126,,-0.119,-0.110,-0.128,
1943,3,-0.166,,-0.119,-0.109,-0.128,
1943,4,-0.156,,-0.118,-0.109,-0.127,
