Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1992,10,-0.003,,-0.035,0.013,-0.083,
1992,11,,,-0.035,0.013,-0.082,
1992,12,,,-0.035,0.013,-0.082,
1993,1,0.139,,-0.034,0.013,-0.081,
1993,2,0.110,,-0.034,0.013,-0.081,
1993,3,0.152,,-0.034,0.013,-0.080,
1993,4,0.077,,-0.033,0.013,-0.080,
1993,5,0.045,,-0.033,0.013,-0.080,
1993,6,-0.039,,-0.033,0.013,-0.079,
1993,7,-0.001,,-0.033,0.013,-0.079,
1993,8,-0.013,,-0.032,0.013,-0.078,
1993,9,-0.094,,-0.032,0.013,-0.078,
1993,10,0.249,,-0.032,0.013,-0.077,
1993,11,0.301,,-0.032,0.013,-0.077,
1993,12,-0.159,,-0.031,0.013,-0.076,
1994,1,-0.302,,-0.031,0.013,-0.076,
1994,2,-0.374,,-0.031,0.013,-0.075,
1994,3,-0.343,,-0.031,0.013,-0.075,
1994,4,,,-0.030,0.014,-0.074,
1994,5,,,-0.030,0.014,-0.074,
1994,6,,,-0.030,0.014,-0.073,
1994,7,,,-0.030,0.014,-0.073,
1994,8,,,-0.029,0.014,-0.072,
1994,9,,,-0.029,0.014,-0.072,
1994,10,,,-0.029,0.014,-0.071,
1994,11,,,-0.029,0.014,-0.071,
1994,12,,,-0.028,0.014,-0.070,
1995,1,,,-0.028,0.014,-0.070,
1995,2,,,-0.028,0.014,-0.069,
1995,3,,,-0.027,0.014,-0.069,
1995,4,,,-0.027,0.014,-0.069,
1995,5,,,-0.027,0.014,-0.068,
1995,6,,,-0.027,0.014,-0.068,
1995,7,,,-0.026,0.014,-0.067,
1995,8,,,-0.026,0.014,-0.067,
1995,9,,,-0.026,0.014,-0.066,
1995,10,,,-0.026,0.014,-0.066,
1995,11,,,-0.025,0.014,-0.065,
1995,12,,,-0.025,0.014,-0.065,
1996,1,,,-0.025,0.014,-0.064,
1996,2,,,-0.025,0.015,-0.064,
1996,3,,,-0.024,0.015,-0.063,
1996,4,,,-0.024,0.015,-0.063,
1996,5,,,-0.024,0.015,-0.062,
1996,6,,,-0.024,0.015,-0.062,
1996,7,,,-0.023,0.015,-0.061,
1996,8,,,-0.023,0.015,-0.061,
1996,9,,,-0.023,0.015,-0.061,
1996,10,,,-0.023,0.015,-0.060,
1996,11,,,-0.022,0.015,-0.060,
1996,12,,,-0.022,0.015,-0.059,
1997,1,,,-0.022,0.015,-0.059,
1997,2,,,-0.022,0.015,-0.058,
1997,3,,,-0.021,0.015,-0.058,
1997,4,,,-0.021,0.015,-0.057,
1997,5,,,-0.021,0.015,-0.057,
1997,6,,,-0.020,0.015,-0.056,
1997,7,,,-0.020,0.015,-0.056,
1997,8,0.021,,-0.020,0.015,-0.055,
1997,9,0.010,,-0.020,0.016,-0.055,
1997,10,-0.138,,-0.019,0.016,-0.055,
1997,11,0.213,,-0.019,0.016,-0.054,
1997,12,-0.089,,-0.019,0.016,-0.054,
1998,1,-0.107,,-0.019,0.016,-0.053,
1998,2,0.032,,-0.018,0.016,-0.053,
1998,3,0.224,,-0.018,0.016,-0.052,
1998,4,0.174,,-0.018,0.016,-0.052,
1998,5,0.042,,-0.018,0.016,-0.051,
1998,6,-0.012,,-0.017,0.016,-0.051,
1998,7,-0.086,,-0.017,0.016,-0.050,
1998,8,0.036,,-0.017,0.016,-0.050,
1998,9,0.039,,-0.017,0.016,-0.049,
1998,10,-0.046,,-0.016,0.016,-0.049,
1998,11,0.109,,-0.016,0.016,-0.049,
1998,12,-0.003,,-0.016,0.017,-0.048,
