Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1973,3,0.136,,-0.033,-0.017,-0.050,
1973,4,0.078,,-0.033,-0.017,-0.050,
1973,5,0.006,,-0.033,-0.017,-0.049,
1973,6,-0.008,,-0.033,-0.017,-0.049,
1973,7,-0.044,,-0.033,-0.016,-0.049,
1973,8,-0.014,,-0.032,-0.016,-0.049,
1973,9,0.022,,-0.032,-0.016,-0.048,
1973,10,0.024,,-0.032,-0.016,-0.048,
1973,11,0.070,,-0.032,-0.016,-0.048,
1973,12,0.024,,-0.032,-0.016,-0.048,
1974,1,0.078,,-0.031,-0.015,-0.047,
1974,2,0.014,,-0.031,-0.015,-0.047,
1974,3,-0.004,,-0.031,-0.015,-0.047,
1974,4,0.026,,-0.031,-0.015,-0.047,
1974,5,0.073,,-0.031,-0.015,-0.046,
1974,6,0.031,,-0.030,-0.015,-0.046,
1974,7,-0.032,,-0.030,-0.014,-0.046,
1974,8,-0.035,,-0.030,-0.014,-0.046,
1974,9,0.028,,-0.030,-0.014,-0.045,
1974,10,0.006,,-0.030,-0.014,-0.045,
1974,11,-0.049,,-0.029,-0.014,-0.045,
1974,12,0.013,,-0.029,-0.014,-0.045,
1975,1,0.066,,-0.029,-0.014,-0.044,
1975,2,0.136,,-0.029,-0.013,-0.044,
1975,3,0.054,,-0.029,-0.013,-0.044,
1975,4,0.023,,-0.028,-0.013,-0.044,
1975,5,0.051,,-0.028,-0.013,-0.043,
1975,6,0.034,,-0.028,-0.013,-0.043,
1975,7,0.112,,-0.028,-0.013,-0.043,
1975,8,0.093,,-0.028,-0.012,-0.043,
1975,9,0.089,,-0.027,-0.012,-0.042,
1975,10,0.021,,-0.027,-0.012,-0.042,
1975,11,0.058,,-0.027,-0.012,-0.042,
1975,12,0.074,,-0.027,-0.012,-0.042,
1976,1,-0.074,,-0.027,-0.012,-0.041,
1976,2,-0.120,,-0.026,-0.011,-0.041,
1976,3,-0.040,,-0.026,-0.011,-0.041,
1976,4,-0.010,,-0.026,-0.011,-0.041,
1976,5,0.009,,-0.026,-0.011,-0.040,
1976,6,0.051,,-0.026,-0.011,-0.040,
1976,7,-0.062,,-0.025,-0.011,-0.040,
1976,8,-0.081,,-0.025,-0.011,-0.040,
1976,9,-0.088,,-0.025,-0.010,-0.039,
1976,10,-0.120,,-0.025,-0.010,-0.039,
1976,11,-0.134,,-0.024,-0.010,-0.039,
1976,12,-0.032,,-0.024,-0.010,-0.039,
1977,1,,,-0.024,-0.010,-0.038,
1977,2,,,-0.024,-0.010,-0.038,
1977,3,,,-0.024,-0.009,-0.038,
1977,4,,,-0.023,-0.009,-0.038,
1977,5,0.012,,-0.023,-0.009,-0.037,
1977,6,-0.033,,-0.023,-0.009,-0.037,
1977,7,-0.050,,-0.023,-0.009,-0.037,
1977,8,0.014,,-0.023,-0.009,-0.037,
1977,9,0.052,,-0.022,-0.008,-0.037,
1977,10,-0.093,,-0.022,-0.008,-0.036,
1977,11,0.007,,-0.022,-0.008,-0.036,
1977,12,-0.038,,-0.022,-0.008,-0.036,
1978,1,-0.074,,-0.022,-0.008,-0.036,
1978,2,-0.059,,-0.021,-0.008,-0.035,
1978,3,-0.068,,-0.021,-0.007,-0.035,
1978,4,-0.026,,-0.021,-0.007,-0.035,
1978,5,0.015,,-0.021,-0.007,-0.035,
1978,6,0.004,,-0.021,-0.007,-0.034,
1978,7,0.005,,-0.020,-0.007,-0.034,
1978,8,-0.038,,-0.020,-0.007,-0.034,
1978,9,0.007,,-0.020,-0.006,-0.034,
1978,10,-0.031,,-0.020,-0.006,-0.033,
1978,11,0.027,,-0.020,-0.006,-0.033,
1978,12,-0.023,,-0.019,-0.006,-0.033,
1979,1,-0.010,,-0.019,-0.006,-0.033,
1979,2,-0.041,,-0.019,-0.006,-0.032,
1979,3,0.033,,-0.019,-0.006,-0.032,
