Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1906,1,-0.176,,-0.192,-0.180,-0.204,
1906,2,-0.119,,-0.192,-0.179,-0.204,
1906,3,-0.149,,-0.191,-0.179,-0.203,
1906,4,-0.177,,-0.191,-0.179,-0.203,
1906,5,-0.227,,-0.191,-0.179,-0.203,
1906,6,-0.208,,-0.191,-0.179,-0.203,
1906,7,-0.161,,-0.191,-0.179,-0.203,
1906,8,-0.167,,-0.190,-0.178,-0.202,
1906,9,-0.185,,-0.190,-0.178,-0.202,
1906,10,-0.175,,-0.190,-0.178,-0.202,
1906,11,-0.215,,-0.190,-0.178,-0.202,
1906,12,-0.183,,-0.190,-0.178,-0.202,
1907,1,-0.176,,-0.189,-0.178,-0.201,
1907,2,-0.147,,-0.189,-0.177,-0.201,
1907,3,-0.176,,-0.189,-0.177,-0.201,
1907,4,-0.146,,-0.189,-0.177,-0.201,
1907,5,-0.160,,-0.189,-0.177,-0.201,
1907,6,-0.178,,-0.189,-0.177,-0.200,
1907,7,-0.127,,-0.188,-0.177,-0.200,
1907,8,-0.143,,-0.188,-0.176,-0.200,
1907,9,-0.176,,-0.188,-0.176,-0.200,
1907,10,-0.138,,-0.188,-0.176,-0.200,
1907,11,-0.163,,-0.188,-0.176,-0.199,
1907,12,-0.190,,-0.187,-0.176,-0.199,
1908,1,-0.136,,-0.187,-0.176,-0.199,
1908,2,-0.204,,-0.187,-0.175,-0.199,
1908,3,-0.170,,-0.187,-0.175,-0.199,
1908,4,-0.155,,-0.187,-0.175,-0.198,
1908,5,-0.209,,-0.187,-0.175,-0.198,
1908,6,-0.202,,-0.186,-0.175,-0.198,
1908,7,-0.188,,-0.186,-0.175,-0.198,
1908,8,-0.174,,-0.186,-0.174,-0.198,
1908,9,-0.185,,-0.186,-0.174,-0.197,
1908,10,-0.196,,-0.186,-0.174,-0.197,
1908,11,-0.242,,-0.185,-0.174,-0.197,
1908,12,-0.214,,-0.185,-0.174,-0.197,
1909,1,-0.212,,-0.185,-0.174,-0.197,
1909,2,-0.232,,-0.185,-0.173,-0.196,
1909,3,-0.195,,-0.185,-0.173,-0.196,
1909,4,-0.183,,-0.185,-0.173,-0.196,
1909,5,-0.209,,-0.184,-0.173,-0.196,
1909,6,-0.187,,-0.184,-0.173,-0.196,
1909,7,-0.197,,-0.184,-0.173,-0.196,
1909,8,-0.228,,-0.184,-0.172,-0.195,
1909,9,-0.234,,-0.184,-0.172,-0.195,
1909,10,-0.217,,-0.183,-0.172,-0.195,
1909,11,-0.230,,-0.183,-0.172,-0.195,
1909,12,-0.168,,-0.183,-0.172,-0.195,
1910,1,-0.221,,-0.183,-0.172,-0.194,
1910,2,-0.232,,-0.183,-0.171,-0.194,
1910,3,-0.176,,-0.183,-0.171,-0.194,
1910,4,-0.186,,-0.182,-0.171,-0.194,
1910,5,-0.224,,-0.182,-0.171,-0.194,
1910,6,-0.184,,-0.182,-0.171,-0.193,
1910,7,-0.176,,-0.182,-0.171,-0.193,
1910,8,-0.210,,-0.182,-0.170,-0.193,
1910,9,-0.188,,-0.181,-0.170,-0.193,
1910,10,-0.202,,-0.181,-0.170,-0.193,
1910,11,-0.193,,-0.181,-0.170,-0.192,
1910,12,-0.183,,-0.181,-0.170,-0.192,
1911,1,-0.182,,-0.181,-0.170,-0.192,
1911,2,-0.171,,-0.181,-0.169,-0.192,
