Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1935,7,-0.239,,-0.185,-0.172,-0.198,
1935,8,-0.227,,-0.185,-0.172,-0.198,
1935,9,-0.247,,-0.185,-0.172,-0.198,
1935,10,-0.203,,-0.185,-0.172,-0.198,
1935,11,-0.085,,-0.184,-0.171,-0.197,
1935,12,-0.238,,-0.184,-0.171,-0.197,
1936,1,-0.215,,-0.184,-0.171,-0.197,
1936,2,-0.148,,-0.184,-0.171,-0.196,
1936,3,-0.268,,-0.183,-0.170,-0.196,
1936,4,-0.145,,-0.183,-0.170,-0.196,
1936,5,-0.097,,-0.183,-0.170,-0.196,
1936,6,-0.064,,-0.182,-0.170,-0.195,
1936,7,-0.227,,-0.182,-0.169,-0.195,
1936,8,-0.188,,-0.182,-0.169,-0.195,
1936,9,-0.205,,-0.182,-0.169,-0.194,
1936,10,-0.170,,-0.181,-0.169,-0.194,
1936,11,-0.262,,-0.181,-0.168,-0.194,
1936,12,-0.080,,-0.181,-0.168,-0.194,
1937,1,-0.072,,-0.181,-0.168,-0.193,
1937,2,-0.062,,-0.180,-0.168,-0.193,
1937,3,-0.162,,-0.180,-0.167,-0.193,
1937,4,-0.178,,-0.180,-0.167,-0.192,
1937,5,-0.116,,-0.179,-0.167,-0.192,
1937,6,-0.213,,-0.179,-0.167,-0.192,
1937,7,-0.221,,-0.179,-0.166,-0.191,
1937,8,-0.169,,-0.179,-0.166,-0.191,
1937,9,-0.162,,-0.178,-0.166,-0.191,
1937,10,-0.191,,-0.178,-0.166,-0.191,
1937,11,-0.241,,-0.178,-0.165,-0.190,
1937,12,-0.138,,-0.178,-0.165,-0.190,
1938,1,-0.154,,-0.177,-0.165,-0.190,
1938,2,-0.129,,-0.177,-0.165,-0.189,
1938,3,-0.156,,-0.177,-0.164,-0.189,
1938,4,-0.200,,-0.177,-0.164,-0.189,
1938,5,-0.186,,-0.176,-0.164,-0.189,
1938,6,-0.210,,-0.176,-0.164,-0.188,
1938,7,-0.181,,-0.176,-0.163,-0.188,
1938,8,-0.191,,-0.175,-0.163,-0.188,
1938,9,-0.250,,-0.175,-0.163,-0.187,
1938,10,-0.164,,-0.175,-0.163,-0.187,
1938,11,-0.101,,-0.175,-0.162,-0.187,
1938,12,-0.171,,-0.174,-0.162,-0.187,
1939,1,-0.227,,-0.174,-0.162,-0.186,
1939,2,-0.245,,-0.174,-0.162,-0.186,
1939,3,-0.183,,-0.174,-0.161,-0.186,
1939,4,-0.245,,-0.173,-0.161,-0.185,
1939,5,-0.152,,-0.173,-0.161,-0.185,
1939,6,-0.228,,-0.173,-0.161,-0.185,
1939,7,-0.172,,-0.172,-0.160,-0.185,
1939,8,-0.245,,-0.172,-0.160,-0.184,
1939,9,-0.119,,-0.172,-0.160,-0.184,
1939,10,-0.213,,-0.172,-0.160,-0.184,
1939,11,-0.186,,-0.171,-0.159,-0.183,
1939,12,-0.281,,-0.171,-0.159,-0.183,
1940,1,-0.273,,-0.171,-0.159,-0.183,
1940,2,-0.276,,-0.171,-0.159,-0.183,
1940,3,-0.195,,-0.170,-0.158,-0.182,
1940,4,-0.264,,-0.170,-0.158,-0.182,
1940,5,-0.207,,-0.170,-0.158,-0.182,
1940,6,-0.265,,-0.169,-0.158,-0.181,
1940,7,-0.169,,-0.169,-0.157,-0.181,
1940,8,-0.035,,-0.169,-0.157,-0.181,
1940,9,-0.113,,-0.169,-0.157,-0.180,
1940,10,-0.188,,-0.168,-0.157,-0.180,
1940,11,-0.204,,-0.168,-0.156,-0.180,
1940,12,-0.165,,-0.168,-0.156,-0.180,
1941,1,-0.063,,-0.168,-0.156,-0.179,
1941,2,-0.133,,-0.167,-0.156,-0.179,
1941,3,-0.238,,-0.167,-0.155,-0.179,
1941,4,-0.178,,-0.167,-0.155,-0.178,
1941,5,-0.262,,-0.167,-0.155,-0.178,
1941,6,-0.186,,-0.166,-0.155,-0.178,
1941,7,-0.221,,-0.166,-0.154,-0.178,
1941,8,-0.248,,-0.166,-0.154,-0.177,
1941,9,-0.202,,-0.165,-0.154,-0.177,
1941,10,-0.240,,-0.165,-0.154,-0.177,
1941,11,-0.183,,-0.165,-0.153,-0.176,
1941,12,-0.202,,-0.165,-0.153,-0.176,
1942,1,-0.169,,-0.164,-0.153,-0.176,
1942,2,-0.096,,-0.164,-0.153,-0.176,
1942,3,-0.262,,-0.164,-0.152,-0.175,
1942,4,-0.151,,-0.164,-0.152,-0.175,
1942,5,-0.173,,-0.163,-0.152,-0.175,
1942,6,-0.195,,-0.163,-0.152,-0.174,
1942,7,-0.191,,-0.163,-0.151,-0.174,
1942,8,-0.172,,-0.162,-0.151,-0.174,
1942,9,-0.205,,-0.162,-0.151,-0.174,
1942,10,-0.121,,-0.162,-0.151,-0.173,
1942,11,-0.183,,-0.162,-0.150,-0.173,
1942,12,-0.223,,-0.161,-0.150,-0.173,
1943,1,-0.187,,-0.161,-0.150,-0.172,
1943,2,-0.261,,-0.161,-0.150,-0.172,
1943,3,-0.159,,-0.161,-0.149,-0.172,
1943,4,-0.139,,-0.160,-0.149,-0.172,
1943,5,-0.119,,-0.160,-0.149,-0.171,
1943,6,-0.146,,-0.160,-0.149,-0.171,
1943,7,-0.160,,-0.159,-0.148,-0.171,
1943,8,-0.133,,-0.159,-0.148,-0.170,
1943,9,-0.098,,-0.159,-0.148,-0.170,
1943,10,-0.118,,-0.159,-0.148,-0.170,
1943,11,-0.204,,-0.158,-0.147,-0.170,
1943,12,-0.190,,-0.158,-0.147,-0.169,
1944,1,-0.078,,-0.158,-0.147,-0.169,
1944,2,-0.151,,-0.158,-0.147,-0.169,
1944,3,-0.098,,-0.157,-0.146,-0.168,
1944,4,-0.102,,-0.157,-0.146,-0.168,
1944,5,-0.073,,-0.157,-0.146,-0.168,
1944,6,-0.073,,-0.156,-0.146,-0.167,
1944,7,-0.023,,-0.156,-0.145,-0.167,
1944,8,-0.148,,-0.156,-0.145,-0.167,
1944,9,-0.199,,-0.156,-0.145,-0.167,
1944,10,-0.158,,-0.155,-0.144,-0.166,
1944,11,-0.131,,-0.155,-0.144,-0.166,
1944,12,-0.220,,-0.155,-0.144,-0.166,
1945,1,-0.160,,-0.155,-0.144,-0.165,
1945,2,-0.227,,-0.154,-0.143,-0.165,
1945,3,-0.207,,-0.154,-0.143,-0.165,
1945,4,-0.099,,-0.154,-0.143,-0.165,
1945,5,-0.204,,-0.154,-0.143,-0.164,
1945,6,-0.183,,-0.153,-0.142,-0.164,
1945,7,-0.133,,-0.153,-0.142,-0.164,
1945,8,-0.136,,-0.153,-0.142,-0.163,
1945,9,-0.202,,-0.152,-0.142,-0.163,
1945,10,-0.085,,-0.152,-0.141,-0.163,
1945,11,-0.140,,-0.152,-0.141,-0.163,
1945,12,-0.068,,-0.152,-0.141,-0.162,
1946,1,-0.090,,-0.151,-0.141,-0.162,
1946,2,-0.209,,-0.151,-0.140,-0.162,
1946,3,-0.073,,-0.151,-0.140,-0.161,
1946,4,-0.087,,-0.151,-0.140,-0.161,
1946,5,-0.128,,-0.150,-0.140,-0.161,
1946,6,-0.195,,-0.150,-0.139,-0.161,
1946,7,-0.136,,-0.150,-0.139,-0.160,
1946,8,-0.209,,-0.149,-0.139,-0.160,
1946,9,-0.098,,-0.149,-0.139,-0.160,
1946,10,-0.036,,-0.149,-0.138,-0.159,
1946,11,0.015,,-0.149,-0.138,-0.159,
1946,12,-0.068,,-0.148,-0.138,-0.159,
1947,1,-0.066,,-0.148,-0.138,-0.159,
1947,2,-0.200,,-0.148,-0.137,-0.158,
1947,3,-0.177,,-0.148,-0.137,-0.158,
1947,4,-0.133,,-0.147,-0.137,-0.158,
1947,5,-0.170,,-0.147,-0.137,-0.157,
1947,6,-0.033,,-0.147,-0.136,-0.157,
1947,7,-0.087,,-0.146,-0.136,-0.157,
1947,8,-0.136,,-0.146,-0.136,-0.157,
1947,9,-0.043,,-0.146,-0.136,-0.156,
1947,10,-0.042,,-0.146,-0.135,-0.156,
1947,11,0.095,,-0.145,-0.135,-0.156,
1947,12,0.060,,-0.145,-0.135,-0.155,
1948,1,-0.023,,-0.145,-0.135,-0.155,
1948,2,0.035,,-0.145,-0.134,-0.155,
1948,3,0.043,,-0.144,-0.134,-0.155,
1948,4,0.039,,-0.144,-0.134,-0.154,
1948,5,-0.058,,-0.144,-0.134,-0.154,
1948,6,-0.076,,-0.144,-0.133,-0.154,
1948,7,-0.105,,-0.143,-0.133,-0.153,
1948,8,-0.114,,-0.143,-0.133,-0.153,
1948,9,0.009,,-0.143,-0.133,-0.153,
1948,10,-0.033,,-0.142,-0.132,-0.152,
1948,11,-0.064,,-0.142,-0.132,-0.152,
1948,12,-0.046,,-0.142,-0.132,-0.152,
1949,1,-0.133,,-0.142,-0.132,-0.152,
1949,2,-0.062,,-0.141,-0.131,-0.151,
1949,3,-0.134,,-0.141,-0.131,-0.151,
1949,4,-0.127,,-0.141,-0.131,-0.151,
1949,5,-0.073,,-0.141,-0.131,-0.150,
1949,6,-0.036,,-0.140,-0.130,-0.150,
1949,7,-0.050,,-0.140,-0.130,-0.150,
1949,8,-0.133,,-0.140,-0.130,-0.150,
1949,9,-0.089,,-0.139,-0.130,-0.149,
1949,10,-0.027,,-0.139,-0.129,-0.149,
1949,11,-0.207,,-0.139,-0.129,-0.149,
1949,12,-0.059,,-0.139,-0.129,-0.148,
1950,1,-0.151,,-0.138,-0.129,-0.148,
1950,2,-0.087,,-0.138,-0.128,-0.148,
1950,3,-0.128,,-0.138,-0.128,-0.148,
1950,4,-0.121,,-0.138,-0.128,-0.147,
1950,5,-0.109,,-0.137,-0.128,-0.147,
1950,6,-0.161,,-0.137,-0.127,-0.147,
1950,7,-0.255,,-0.137,-0.127,-0.146,
1950,8,-0.093,,-0.136,-0.127,-0.146,
1950,9,-0.116,,-0.136,-0.127,-0.146,
1950,10,-0.109,,-0.136,-0.126,-0.146,
1950,11,-0.274,,-0.136,-0.126,-0.145,
1950,12,-0.132,,-0.135,-0.126,-0.145,
1951,1,-0.160,,-0.135,-0.125,-0.145,
1951,2,-0.151,,-0.135,-0.125,-0.144,
1951,3,-0.089,,-0.135,-0.125,-0.144,
1951,4,-0.133,,-0.134,-0.125,-0.144,
