Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1925,5,-0.961,,-0.983,-0.958,-1.007,
1925,6,-1.014,,-0.983,-0.958,-1.007,
1925,7,-1.005,,-0.983,-0.959,-1.006,
1925,8,-1.046,,-0.983,-0.959,-1.006,
1925,9,-1.155,,-0.983,-0.959,-1.006,
1925,10,-1.007,,-0.983,-0.959,-1.006,
1925,11,-0.897,,-0.983,-0.959,-1.006,
1925,12,-0.962,,-0.983,-0.959,-1.006,
1926,1,-0.864,,-0.983,-0.959,-1.006,
1926,2,-0.785,,-0.983,-0.959,-1.006,
1926,3,-0.825,,-0.983,-0.959,-1.006,
1926,4,-0.889,,-0.983,-0.959,-1.006,
1926,5,-0.815,,-0.983,-0.959,-1.006,
1926,6,-0.978,,-0.983,-0.960,-1.006,
1926,7,-0.880,,-0.983,-0.960,-1.006,
1926,8,-0.992,,-0.983,-0.960,-1.006,
1926,9,-1.118,,-0.983,-0.960,-1.006,
1926,10,-0.961,,-0.983,-0.960,-1.005,
1926,11,-0.994,,-0.983,-0.960,-1.005,
1926,12,-0.916,,-0.983,-0.960,-1.005,
1927,1,-1.019,,-0.983,-0.960,-1.005,
1927,2,-0.782,,-0.983,-0.960,-1.005,
1927,3,-0.889,,-0.983,-0.960,-1.005,
1927,4,-1.060,,-0.983,-0.960,-1.005,
1927,5,-1.010,,-0.983,-0.960,-1.005,
1927,6,-0.981,,-0.983,-0.960,-1.005,
1927,7,-1.033,,-0.983,-0.961,-1.005,
1927,8,-1.028,,-0.983,-0.961,-1.005,
1927,9,-1.030,,-0.983,-0.961,-1.005,
1927,10,-0.952,,-0.983,-0.961,-1.005,
1927,11,-1.095,,-0.983,-0.961,-1.005,
1927,12,-1.191,,-0.983,-0.961,-1.004,
1928,1,-1.010,,-0.983,-0.961,-1.004,
1928,2,-1.002,,-0.983,-0.961,-1.004,
1928,3,-0.895,,-0.983,-0.961,-1.004,
1928,4,-0.898,,-0.983,-0.961,-1.004,
1928,5,-0.937,,-0.983,-0.961,-1.004,
1928,6,-1.051,,-0.983,-0.961,-1.004,
1928,7,-1.014,,-0.983,-0.962,-1.004,
1928,8,-0.976,,-0.983,-0.962,-1.004,
1928,9,-1.048,,-0.983,-0.962,-1.004,
1928,10,-1.064,,-0.983,-0.962,-1.004,
1928,11,-0.863,,-0.983,-0.962,-1.004,
1928,12,-0.834,,-0.983,-0.962,-1.004,
1929,1,-1.144,,-0.983,-0.962,-1.004,
1929,2,-1.136,,-0.983,-0.962,-1.004,
1929,3,-1.014,,-0.983,-0.962,-1.004,
1929,4,-1.051,,-0.983,-0.962,-1.003,
1929,5,-1.016,,-0.983,-0.962,-1.003,
1929,6,-0.978,,-0.983,-0.962,-1.003,
1929,7,-0.932,,-0.983,-0.962,-1.003,
1929,8,-0.970,,-0.983,-0.963,-1.003,
1929,9,-1.085,,-0.983,-0.963,-1.003,
1929,10,-0.833,,-0.983,-0.963,-1.003,
1929,11,-1.013,,-0.983,-0.963,-1.003,
1929,12,-1.121,,-0.983,-0.963,-1.003,
1930,1,-1.287,,-0.983,-0.963,-1.003,
1930,2,-0.913,,-0.983,-0.963,-1.003,
1930,3,-1.065,,-0.983,-0.963,-1.003,
1930,4,-1.005,,-0.983,-0.963,-1.003,
1930,5,-1.001,,-0.983,-0.963,-1.003,
1930,6,-1.014,,-0.983,-0.963,-1.003,
1930,7,-1.017,,-0.983,-0.963,-1.003,
1930,8,-0.976,,-0.983,-0.963,-1.002,
1930,9,-1.018,,-0.983,-0.964,-1.002,
1930,10,-1.089,,-0.983,-0.964,-1.002,
1930,11,-0.918,,-0.983,-0.964,-1.002,
1930,12,-0.807,,-0.983,-0.964,-1.002,
1931,1,-0.736,,-0.983,-0.964,-1.002,
1931,2,-0.761,,-0.983,-0.964,-1.002,
1931,3,-0.928,,-0.983,-0.964,-1.002,
1931,4,-0.901,,-0.983,-0.964,-1.002,
1931,5,-0.903,,-0.983,-0.964,-1.002,
1931,6,-0.935,,-0.983,-0.964,-1.002,
1931,7,-0.944,,-0.983,-0.964,-1.002,
1931,8,-0.979,,-0.983,-0.964,-1.002,
1931,9,-0.981,,-0.983,-0.964,-1.002,
1931,10,-0.891,,-0.983,-0.965,-1.002,
1931,11,-1.040,,-0.983,-0.965,-1.002,
1931,12,-0.980,,-0.983,-0.965,-1.001,
1932,1,-1.040,,-0.983,-0.965,-1.001,
1932,2,-1.112,,-0.983,-0.965,-1.001,
1932,3,-0.953,,-0.983,-0.965,-1.001,
1932,4,-0.904,,-0.983,-0.965,-1.001,
1932,5,-0.910,,-0.983,-0.965,-1.001,
1932,6,-0.932,,-0.983,-0.965,-1.001,
1932,7,-0.935,,-0.983,-0.965,-1.001,
1932,8,-0.967,,-0.983,-0.965,-1.001,
1932,9,-0.954,,-0.983,-0.965,-1.001,
1932,10,-1.004,,-0.983,-0.965,-1.001,
1932,11,-0.976,,-0.983,-0.965,-1.001,
1932,12,-1.050,,-0.983,-0.966,-1.001,
1933,1,-1.040,,-0.983,-0.966,-1.001,
1933,2,-1.145,,-0.983,-0.966,-1.001,
1933,3,-0.989,,-0.983,-0.966,-1.001,
1933,4,-1.014,,-0.983,-0.966,-1.001,
1933,5,-1.010,,-0.983,-0.966,-1.001,
1933,6,-0.978,,-0.983,-0.966,-1.000,
1933,7,-0.947,,-0.983,-0.966,-1.000,
1933,8,-0.934,,-0.983,-0.966,-1.000,
1933,9,-0.993,,-0.983,-0.966,-1.000,
1933,10,-1.083,,-0.983,-0.966,-1.000,
1933,11,-1.022,,-0.983,-0.966,-1.000,
1933,12,-1.154,,-0.983,-0.966,-1.000,
1934,1,-0.909,,-0.983,-0.966,-1.000,
1934,2,-0.910,,-0.983,-0.966,-1.000,
1934,3,-1.029,,-0.983,-0.967,-1.000,
1934,4,-0.941,,-0.983,-0.967,-1.000,
1934,5,-0.879,,-0.983,-0.967,-1.000,
1934,6,-0.972,,-0.983,-0.967,-1.000,
1934,7,-1.014,,-0.983,-0.967,-1.000,
1934,8,-1.034,,-0.983,-0.967,-1.000,
1934,9,-1.033,,-0.983,-0.967,-1.000,
1934,10,-0.891,,-0.983,-0.967,-1.000,
1934,11,-0.848,,-0.983,-0.967,-1.000,
1934,12,-0.926,,-0.983,-0.967,-1.000,
1935,1,-1.010,,-0.983,-0.967,-1.000,
1935,2,-0.868,,-0.983,-0.967,-0.999,
1935,3,-1.059,,-0.983,-0.967,-0.999,
1935,4,-1.041,,-0.983,-0.967,-0.999,
1935,5,-1.007,,-0.983,-0.967,-0.999,
1935,6,-1.002,,-0.983,-0.967,-0.999,
1935,7,-1.002,,-0.983,-0.968,-0.999,
1935,8,-1.019,,-0.983,-0.968,-0.999,
1935,9,-1.070,,-0.983,-0.968,-0.999,
1935,10,-1.138,,-0.983,-0.968,-0.999,
1935,11,-1.180,,-0.983,-0.968,-0.999,
1935,12,-0.919,,-0.983,-0.968,-0.999,
1936,1,-0.915,,-0.983,-0.968,-0.999,
1936,2,-1.096,,-0.983,-0.968,-0.999,
1936,3,-1.056,,-0.983,-0.968,-0.999,
1936,4,-1.087,,-0.983,-0.968,-0.999,
1936,5,-0.952,,-0.983,-0.968,-0.999,
1936,6,-0.984,,-0.983,-0.968,-0.999,
1936,7,-0.950,,-0.983,-0.968,-0.999,
1936,8,-1.025,,-0.983,-0.968,-0.999,
1936,9,-1.115,,-0.983,-0.968,-0.999,
1936,10,-1.034,,-0.984,-0.968,-0.999,
1936,11,-0.937,,-0.984,-0.968,-0.999,
1936,12,-0.996,,-0.984,-0.969,-0.999,
1937,1,-1.354,,-0.984,-0.969,-0.998,
1937,2,-1.038,,-0.984,-0.969,-0.998,
1937,3,-0.983,,-0.984,-0.969,-0.998,
1937,4,-0.959,,-0.984,-0.969,-0.998,
1937,5,-0.934,,-0.984,-0.969,-0.998,
1937,6,-0.966,,-0.984,-0.969,-0.998,
1937,7,-0.956,,-0.984,-0.969,-0.998,
1937,8,-0.979,,-0.984,-0.969,-0.998,
1937,9,-1.024,,-0.984,-0.969,-0.998,
1937,10,-0.930,,-0.984,-0.969,-0.998,
1937,11,-0.946,,-0.984,-0.969,-0.998,
1937,12,-0.944,,-0.984,-0.969,-0.998,
1938,1,-0.873,,-0.984,-0.969,-0.998,
1938,2,-0.959,,-0.984,-0.969,-0.998,
1938,3,-0.937,,-0.984,-0.969,-0.998,
1938,4,-0.953,,-0.984,-0.969,-0.998,
1938,5,-0.949,,-0.984,-0.969,-0.998,
1938,6,-0.938,,-0.984,-0.969,-0.998,
1938,7,-0.996,,-0.984,-0.969,-0.998,
1938,8,-1.138,,-0.984,-0.969,-0.998,
1938,9,-0.917,,-0.984,-0.970,-0.998,
1938,10,-0.851,,-0.984,-0.970,-0.998,
1938,11,-1.025,,-0.984,-0.970,-0.998,
1938,12,-0.941,,-0.984,-0.970,-0.998,
1939,1,,,-0.984,-0.970,-0.998,
1939,2,,,-0.984,-0.970,-0.998,
1939,3,,,-0.984,-0.970,-0.998,
1939,4,,,-0.984,-0.970,-0.998,
1939,5,,,-0.984,-0.970,-0.998,
1939,6,,,-0.984,-0.970,-0.998,
1939,7,,,-0.984,-0.970,-0.998,
1939,8,,,-0.984,-0.970,-0.998,
1939,9,,,-0.984,-0.970,-0.997,
1939,10,,,-0.984,-0.970,-0.997,
1939,11,,,-0.984,-0.970,-0.997,
1939,12,,,-0.984,-0.970,-0.997,
1940,1,,,-0.984,-0.970,-0.997,
1940,2,,,-0.984,-0.970,-0.997,
1940,3,,,-0.984,-0.970,-0.997,
1940,4,,,-0.984,-0.970,-0.997,
1940,5,,,-0.984,-0.970,-0.997,
1940,6,,,-0.984,-0.970,-0.997,
1940,7,,,-0.984,-0.970,-0.997,
1940,8,,,-0.984,-0.970,-0.997,
1940,9,,,-0.984,-0.970,-0.997,
1940,10,,,-0.984,-0.970,-0.997,
1940,11,,,-0.984,-0.970,-0.997,
1940,12,,,-0.984,-0.971,-0.997,
1941,1,,,-0.984,-0.971,-0.997,
1941,2,,,-0.984,-0.971,-0.997,
1941,3,,,-0.984,-0.971,-0.997,
1941,4,,,-0.984,-0.971,-0.997,
1941,5,,,-0.984,-0.971,-0.997,
1941,6,,,-0.984,-0.971,-0.997,
1941,7,,,-0.984,-0.971,-0.997,
1941,8,,,-0.984,-0.971,-0.997,
1941,9,,,-0.984,-0.971,-0.997,
1941,10,,,-0.984,-0.971,-0.997,
1941,11,,,-0.984,-0.971,-0.997,
1941,12,,,-0.984,-0.971,-0.997,
1942,1,,,-0.984,-0.971,-0.997,
1942,2,,,-0.984,-0.971,-0.997,
1942,3,,,-0.984,-0.971,-0.997,
1942,4,,,-0.984,-0.971,-0.997,
1942,5,,,-0.984,-0.971,-0.997,
1942,6,,,-0.984,-0.971,-0.997,
1942,7,,,-0.984,-0.971,-0.997,
1942,8,,,-0.984,-0.971,-0.997,
1942,9,,,-0.984,-0.971,-0.997,
1942,10,,,-0.984,-0.971,-0.997,
1942,11,,,-0.984,-0.971,-0.997,
1942,12,,,-0.984,-0.971,-0.997,
1943,1,,,-0.984,-0.971,-0.997,
1943,2,,,-0.984,-0.971,-0.997,
1943,3,,,-0.984,-0.971,-0.997,
1943,4,,,-0.984,-0.971,-0.997,
1943,5,,,-0.984,-0.971,-0.997,
1943,6,,,-0.984,-0.971,-0.997,
1943,7,,,-0.984,-0.971,-0.997,
1943,8,,,-0.984,-0.971,-0.997,
1943,9,,,-0.984,-0.971,-0.997,
1943,10,,,-0.984,-0.971,-0.997,
1943,11,,,-0.984,-0.971,-0.997,
1943,12,,,-0.984,-0.971,-0.997,
1944,1,,,-0.984,-0.971,-0.997,
1944,2,,,-0.984,-0.971,-0.997,
1944,3,,,-0.984,-0.971,-0.997,
1944,4,,,-0.984,-0.971,-0.997,
1944,5,,,-0.984,-0.971,-0.997,
1944,6,,,-0.984,-0.971,-0.997,
1944,7,,,-0.984,-0.971,-0.997,
1944,8,,,-0.984,-0.971,-0.997,
1944,9,,,-0.984,-0.971,-0.997,
1944,10,-1.000,,-0.984,-0.971,-0.997,
1944,11,-0.933,,-0.984,-0.971,-0.997,
1944,12,-1.029,,-0.984,-0.971,-0.997,
1945,1,-0.827,,-0.984,-0.971,-0.997,
1945,2,-0.935,,-0.984,-0.971,-0.997,
1945,3,-0.867,,-0.984,-0.971,-0.997,
1945,4,-1.072,,-0.984,-0.971,-0.997,
1945,5,-1.062,,-0.984,-0.971,-0.997,
1945,6,-0.987,,-0.984,-0.971,-0.997,
1945,7,-0.935,,-0.984,-0.971,-0.997,
1945,8,-0.998,,-0.984,-0.971,-0.997,
1945,9,-1.054,,-0.984,-0.971,-0.997,
1945,10,-0.967,,-0.984,-0.971,-0.997,
1945,11,-1.043,,-0.984,-0.971,-0.997,
1945,12,-0.935,,-0.984,-0.971,-0.997,
1946,1,-0.967,,-0.984,-0.971,-0.997,
1946,2,-0.886,,-0.984,-0.971,-0.997,
1946,3,-0.937,,-0.984,-0.971,-0.998,
1946,4,-0.910,,-0.984,-0.971,-0.998,
1946,5,-1.038,,-0.984,-0.971,-0.998,
1946,6,-1.014,,-0.984,-0.971,-0.998,
1946,7,-0.920,,-0.984,-0.971,-0.998,
1946,8,-0.992,,-0.984,-0.971,-0.998,
1946,9,-0.999,,-0.984,-0.971,-0.998,
1946,10,-1.031,,-0.984,-0.971,-0.998,
1946,11,-1.135,,-0.984,-0.971,-0.998,
1946,12,-1.084,,-0.984,-0.971,-0.998,
1947,1,-1.074,,-0.984,-0.971,-0.998,
1947,2,-1.051,,-0.984,-0.971,-0.998,
1947,3,-1.020,,-0.984,-0.971,-0.998,
1947,4,-1.026,,-0.984,-0.971,-0.998,
1947,5,-0.995,,-0.984,-0.971,-0.998,
1947,6,-0.981,,-0.984,-0.971,-0.998,
1947,7,-0.956,,-0.984,-0.971,-0.998,
1947,8,-1.028,,-0.984,-0.971,-0.998,
1947,9,-0.999,,-0.984,-0.971,-0.998,
1947,10,-0.781,,-0.984,-0.971,-0.998,
1947,11,-0.961,,-0.984,-0.971,-0.998,
1947,12,-0.858,,-0.984,-0.971,-0.998,
1948,1,-0.861,,-0.984,-0.971,-0.998,
1948,2,-1.051,,-0.984,-0.971,-0.998,
1948,3,-1.020,,-0.984,-0.971,-0.998,
1948,4,-1.057,,-0.984,-0.971,-0.998,
1948,5,-0.998,,-0.984,-0.971,-0.998,
1948,6,-1.057,,-0.985,-0.971,-0.998,
1948,7,-0.966,,-0.985,-0.971,-0.998,
1948,8,-1.068,,-0.985,-0.971,-0.998,
1948,9,-0.978,,-0.985,-0.971,-0.999,
1948,10,-0.854,,-0.985,-0.971,-0.999,
1948,11,-0.891,,-0.985,-0.970,-0.999,
1948,12,-1.038,,-0.985,-0.970,-0.999,
