Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1973,1,0.041,,-0.018,0.006,-0.041,
1973,2,-0.053,,-0.018,0.006,-0.041,
1973,3,-0.007,,-0.018,0.006,-0.041,
1973,4,-0.251,,-0.018,0.006,-0.041,
1973,5,-0.072,,-0.018,0.006,-0.041,
1973,6,-0.045,,-0.018,0.006,-0.041,
1973,7,-0.076,,-0.017,0.006,-0.040,
1973,8,-0.107,,-0.017,0.005,-0.040,
1973,9,-0.056,,-0.017,0.005,-0.040,
1973,10,-0.174,,-0.017,0.005,-0.040,
1973,11,-0.043,,-0.017,0.005,-0.040,
1973,12,0.046,,-0.017,0.005,-0.040,
1974,1,-0.041,,-0.017,0.005,-0.040,
1974,2,-0.016,,-0.017,0.005,-0.040,
1974,3,,,-0.017,0.005,-0.040,
1974,4,,,-0.017,0.005,-0.040,
1974,5,,,-0.017,0.005,-0.039,
1974,6,-0.027,,-0.017,0.005,-0.039,
1974,7,0.049,,-0.017,0.005,-0.039,
1974,8,-0.119,,-0.017,0.005,-0.039,
1974,9,,,-0.017,0.005,-0.039,
1974,10,,,-0.017,0.005,-0.039,
1974,11,-0.059,,-0.017,0.005,-0.039,
1974,12,,,-0.017,0.005,-0.039,
1975,1,-0.093,,-0.017,0.005,-0.039,
1975,2,-0.007,,-0.017,0.005,-0.039,
1975,3,,,-0.017,0.005,-0.038,
1975,4,-0.120,,-0.017,0.005,-0.038,
1975,5,-0.069,,-0.017,0.005,-0.038,
1975,6,-0.112,,-0.017,0.005,-0.038,
1975,7,,,-0.017,0.005,-0.038,
1975,8,-0.052,,-0.017,0.005,-0.038,
1975,9,,,-0.017,0.005,-0.038,
1975,10,0.095,,-0.017,0.005,-0.038,
1975,11,,,-0.016,0.005,-0.038,
1975,12,,,-0.016,0.005,-0.038,
1976,1,,,-0.016,0.005,-0.038,
1976,2,,,-0.016,0.005,-0.037,
1976,3,-0.077,,-0.016,0.005,-0.037,
1976,4,-0.007,,-0.016,0.005,-0.037,
1976,5,-0.057,,-0.016,0.005,-0.037,
1976,6,,,-0.016,0.005,-0.037,
1976,7,0.058,,-0.016,0.005,-0.037,
1976,8,0.039,,-0.016,0.005,-0.037,
1976,9,-0.008,,-0.016,0.005,-0.037,
1976,10,-0.054,,-0.016,0.004,-0.037,
1976,11,,,-0.016,0.004,-0.037,
1976,12,-0.104,,-0.016,0.004,-0.036,
1977,1,-0.148,,-0.016,0.004,-0.036,
1977,2,-0.044,,-0.016,0.004,-0.036,
1977,3,-0.085,,-0.016,0.004,-0.036,
1977,4,-0.175,,-0.016,0.004,-0.036,
1977,5,0.044,,-0.016,0.004,-0.036,
1977,6,-0.069,,-0.016,0.004,-0.036,
1977,7,-0.085,,-0.016,0.004,-0.036,
1977,8,0.030,,-0.016,0.004,-0.036,
1977,9,0.062,,-0.016,0.004,-0.036,
1977,10,0.031,,-0.016,0.004,-0.035,
1977,11,0.015,,-0.016,0.004,-0.035,
1977,12,0.113,,-0.016,0.004,-0.035,
1978,1,0.123,,-0.016,0.004,-0.035,
1978,2,0.108,,-0.016,0.004,-0.035,
1978,3,-0.046,,-0.015,0.004,-0.035,
1978,4,0.054,,-0.015,0.004,-0.035,
1978,5,-0.045,,-0.015,0.004,-0.035,
1978,6,0.062,,-0.015,0.004,-0.035,
1978,7,-0.070,,-0.015,0.004,-0.035,
1978,8,-0.019,,-0.015,0.004,-0.035,
1978,9,0.066,,-0.015,0.004,-0.034,
1978,10,-0.121,,-0.015,0.004,-0.034,
1978,11,-0.193,,-0.015,0.004,-0.034,
1978,12,-0.204,,-0.015,0.004,-0.034,
1979,1,-0.179,,-0.015,0.004,-0.034,
