Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1940,1,0.732,U,0.622,0.640,0.603,
1940,2,0.753,U,0.621,0.640,0.603,
1940,3,0.744,U,0.621,0.639,0.603,
1940,4,0.624,U,0.621,0.639,0.602,
1940,5,0.671,,0.620,0.638,0.602,
1940,6,0.661,,0.620,0.638,0.602,
1940,7,0.640,,0.619,0.637,0.601,
1940,8,0.724,,0.619,0.637,0.601,
1940,9,0.697,,0.619,0.637,0.601,
1940,10,0.723,,0.618,0.636,0.600,
1940,11,0.600,,0.618,0.636,0.600,
1940,12,0.766,,0.618,0.635,0.600,
1941,1,0.799,,0.617,0.635,0.599,
1941,2,0.696,,0.617,0.634,0.599,
1941,3,0.741,,0.616,0.634,0.599,
1941,4,0.718,,0.616,0.634,0.598,
1941,5,0.677,,0.616,0.633,0.598,
1941,6,0.670,,0.615,0.633,0.598,
1941,7,0.695,,0.615,0.632,0.597,
1941,8,0.596,,0.615,0.632,0.597,
1941,9,0.588,,0.614,0.632,0.597,
1941,10,0.641,,0.614,0.631,0.596,
1941,11,0.657,,0.613,0.631,0.596,
1941,12,0.681,,0.613,0.630,0.596,
1942,1,0.744,,0.613,0.630,0.595,
1942,2,0.680,,0.612,0.629,0.595,
1942,3,0.674,,0.612,0.629,0.595,
1942,4,0.724,,0.612,0.629,0.595,
1942,5,0.662,,0.611,0.628,0.594,
1942,6,0.612,,0.611,0.628,0.594,
1942,7,0.627,,0.610,0.627,0.594,
1942,8,0.605,,0.610,0.627,0.593,
1942,9,0.502,,0.610,0.627,0.593,
1942,10,0.647,,0.609,0.626,0.593,
1942,11,0.581,,0.609,0.626,0.592,
1942,12,0.580,,0.609,0.625,0.592,
1943,1,0.537,,0.608,0.625,0.592,
1943,2,0.586,,0.608,0.624,0.591,
1943,3,0.533,,0.607,0.624,0.591,
1943,4,0.639,,0.607,0.624,0.591,
1943,5,0.540,,0.607,0.623,0.590,
1943,6,0.551,,0.606,0.623,0.590,
1943,7,0.640,,0.606,0.622,0.590,
1943,8,0.626,,0.606,0.622,0.589,
1943,9,0.606,,0.605,0.621,0.589,
1943,10,0.626,,0.605,0.621,0.589,
1943,11,0.700,,0.604,0.621,0.588,
1943,12,0.672,,0.604,0.620,0.588,
